movie_id,title,year,rtAllCriticsRating,rtAudienceRating,rtAllCriticsNumReviews,rtAudienceNumRatings,rtAllCriticsScore,rtAudienceScore,directorName,country,genres,actorName
14,Nixon,1995,6.7,3.5,56,3256,75,72,Oliver Stone,USA,"('Drama',)","('Anthony Hopkins', 'Bob Hoskins', 'Ed Harris', 'Joan Allen', 'Powers Boothe')"
15,Cutthroat Island,1995,4.4,2.6,31,3350,45,42,Renny Harlin,USA,"('Action', 'Adventure', 'Romance')","('Frank Langella', 'Geena Davis', 'Matthew Modine', 'Maury Chaykin', 'Patrick Malahide')"
16,Casino,1995,7.2,3.9,58,66463,81,91,Martin Scorsese,USA,"('Drama', 'Thriller')","('Don Rickles', 'James Woods', 'Joe Pesci', 'Robert De Niro', 'Sharon Stone')"
17,Sense and Sensibility,1995,7.9,3.8,49,32782,97,88,Ang Lee,USA,"('Drama', 'Romance')","('Alan Rickman', 'Emma Thompson', 'Hugh Grant', 'James Fleet', 'Kate Winslet')"
18,Four Rooms,1995,3.5,3.5,42,14266,14,72,Alexandre Rockwell,USA,"('Thriller',)","('Antonio Banderas', 'Jennifer Beals', 'Quentin Tarantino', 'Tim Roth', 'Valeria Golino')"
19,Ace Ventura: When Nature Calls,1995,4.1,3.2,25,87306,36,73,Steve Oedekerk,USA,"('Comedy',)","('Bob Gunton', 'Ian McNeice', 'Jim Carrey', 'Maynard Eziashi', 'Simon Callow')"
20,Money Train,1995,4.0,2.7,24,5263,16,38,Joseph Ruben,USA,"('Action',)","('Chris Cooper', 'Jennifer Lopez', 'Robert Blake', 'Wesley Snipes', 'Woody Harrelson')"
21,Get Shorty,1995,7.7,3.2,49,10155,85,63,Barry Sonnenfeld,USA,"('Action', 'Comedy', 'Drama')","('Danny DeVito', 'Dennis Farina', 'Gene Hackman', 'John Travolta', 'Rene Russo')"
22,Copycat,1995,6.6,3.1,32,5628,75,58,Jon Amiel,USA,"('Crime', 'Drama', 'Thriller')","('Dermot Mulroney', 'Holly Hunter', 'Sigourney Weaver', 'Will Patton', 'William McNamara')"
23,Assassins,1995,4.3,3.4,106,107023,25,58,James McTeigue,USA,"('Thriller',)","('Rain', 'Ben Miles', 'Naomie Harris', 'Rick Yune', 'Shô Kosugi')"
24,Powder,1995,5.2,3.1,19,6650,47,67,Victor Salva,USA,"('Drama', 'Sci-Fi')","('Brandon Smith (I)', 'Jeff Goldblum', 'Lance Henriksen', 'Mary Steenburgen', 'Sean Patrick Flanery')"
25,Leaving Las Vegas,1995,7.7,3.6,45,12742,88,82,Mike Figgis,France,"('Drama', 'Romance')","('Richard Lewis', 'Elisabeth Shue', 'Julian Sands', 'Nicolas Cage', 'Valeria Golino')"
26,Othello,1995,6.3,3.3,38,2018,68,66,Oliver Parker,USA,"('Drama',)","('Irène Jacob', 'Kenneth Branagh', 'Laurence Fishburne', 'Michael Maloney', 'Nathaniel Parker')"
27,Now and Then,1995,4.7,3.5,16,17168,18,78,Lesli Linka Glatter,USA,"('Drama',)","('Ashleigh Aston Moore', 'Christina Ricci', 'Demi Moore', 'Gaby Hoffmann', 'Thora Birch')"
28,Persuasion,1995,7.7,3.9,23,7968,82,82,Roger Michell,UK,"('Romance',)","('Amanda Root', 'Ciarán Hinds', 'David Collings', 'Judy Cornwell', 'Susan Fleetwood')"
29,"City of Lost Children, The",1995,7.0,4.0,33,22420,81,89,Jean-Pierre Jeunet,France,"('Adventure', 'Sci-Fi')","('Daniel Emilfork', 'Dominique Pinon', 'Jean-Claude Dreyfus', 'Judith Vittet', 'Ron Perlman')"
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,6.8,3.6,21,1061,85,70,Yimou Zhang,France,"('Drama',)","('Li Gong', 'Baotian Li', 'Li Xuejian', 'Sun Chun', 'Wang Xiaoxiao')"
31,Dangerous Minds,1995,4.7,3.1,37,12136,29,66,John N. Smith,USA,"('Drama',)","('Bruklin Harris', 'Courtney B. Vance', 'George Dzundza', 'Michelle Pfeiffer', 'Robin Bartlett')"
32,Twelve Monkeys,1995,0.0,0.0,0,0,0,0,Siddharth Randeria,USA,"('Drama', 'Sci-Fi')","('Bhiravi Vaidhy', 'Dilip Satgare', 'Haresh Mehta', 'Harish Panchal', 'Kamlesh Shah')"
33,Wings of Courage,1995,0.0,0.0,4,0,50,0,Jean-Jacques Annaud,USA,"('Adventure', 'Romance')","('Freddy Andreiuci', 'Balinder Johal', 'Ron Sauvé', 'Craig Sheffer', 'Elizabeth McGovern')"
34,Babe,1995,8.2,3.0,54,22954,98,54,Chris Noonan,Australia,"(""Children's"", 'Comedy', 'Drama')","('Christine Cavanaugh', 'Danny Mann', 'James Cromwell', 'Magda Szubanski', 'Miriam Margolyes')"
35,Carrington,1995,6.2,3.5,19,781,47,68,Christopher Hampton,UK,"('Drama', 'Romance')","('Emma Thompson', 'Jonathan Pryce', 'Rufus Sewell', 'Samuel West', 'Steven Waddington')"
36,Dead Man Walking,1995,8.2,3.6,53,15450,94,81,Tim Robbins,UK,"('Drama',)","('R. Lee Ermey', 'Raymond J. Barry', 'Robert Prosky', 'Sean Penn', 'Susan Sarandon')"
37,Across the Sea of Time,1995,0.0,2.9,4,237,50,27,Stephan Low,USA,"('Documentary',)","('Ali Hoffman', 'John McDonough', 'Peter Boyden', 'Peter Reznick', 'Victor Steinbach')"
38,It Takes Two,1995,3.9,2.9,24,16311,8,63,Andy Tennant,USA,"('Comedy',)","('Ashley Olsen', 'Kirstie Alley', 'Mary-Kate Olsen', 'Philip Bosco', 'Steve Guttenberg')"
39,Clueless,1995,0.0,0.0,0,0,0,0,Andras Solyom,USA,"('Comedy', 'Romance')","('Dorka Gryllus', 'Lajos Kovács')"
40,"Cry, the Beloved Country",1995,7.2,3.5,13,520,76,66,Darrell Roodt,South Africa,"('Drama',)","('Richard Harris', 'Charles S. Dutton', 'James Earl Jones', 'Leleti Khumalo', 'Vusi Kunene')"
41,Richard III,1995,8.1,3.7,43,1552,95,82,Richard Loncraine,UK,"('Drama', 'War')","('Annette Bening', 'Ian McKellen', 'Jim Broadbent', 'Nigel Hawthorne', 'Robert Downey Jr.')"
42,Dead Presidents,1995,5.7,3.3,31,4475,45,75,Albert Hughes,USA,"('Action', 'Crime', 'Drama')","('Chris Tucker', 'Freddy Rodriguez', 'Keith David', 'Larenz Tate', ""N'Bushe Wright"")"
43,Restoration,1995,6.3,3.3,31,1103,67,56,Michael Hoffman,USA,"('Drama',)","('Hugh Grant', 'Ian McKellen', 'Meg Ryan', 'Polly Walker', 'Robert Downey Jr.')"
44,Mortal Kombat,1995,4.4,2.8,26,18291,34,55,Paul W.S. Anderson,USA,"('Action', 'Adventure')","('Bridgette Wilson', 'Cary-Hiroyuki Tagawa', 'Christopher Lambert', 'Linden Ashby', 'Robin Shou')"
45,To Die For,1995,6.8,3.9,197,1145097,81,86,Len Wiseman,USA,"('Comedy', 'Drama')","('Bruce Willis', 'Cliff Curtis', 'Justin Long', 'Maggie Q', 'Timothy Olyphant')"
46,How to Make an American Quilt,1995,5.6,3.2,22,2626,50,58,Jocelyn Moorhouse,USA,"('Drama', 'Romance')","('Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Maya Angelou', 'Winona Ryder')"
47,Seven (Se7en),1995,9.2,4.5,49,29509,100,97,Akira Kurosawa,Japan,"('Crime', 'Thriller')","('Minoru Chiaki', 'Seiji Miyaguchi', 'Takashi Shimura', 'Toshiro Mifune', 'Yoshio Inaba')"
48,Pocahontas,1995,6.0,3.2,49,37858,55,63,Mike Gabriel,USA,"('Animation', ""Children's"", 'Musical', 'Romance')","('Irene Bedard', 'Judy Kuhn', 'Linda Hunt', 'Mel Gibson', 'Russell Means')"
49,When Night Is Falling,1995,5.7,3.9,16,1132,50,83,Patricia Rozema,Canada,"('Drama', 'Romance')","('David Fox', 'Henry Czerny', 'Pascale Bussieres', 'Rachael Crawford', 'Tracy Wright')"
50,"Usual Suspects, The",1995,7.5,4.2,47,109588,87,95,Bryan Singer,USA,"('Crime', 'Thriller')","('Chazz Palminteri', 'Gabriel Byrne', 'Kevin Pollak', 'Pete Postlethwaite', 'Stephen Baldwin')"
52,Mighty Aphrodite,1995,6.7,3.3,33,4866,75,69,Woody Allen,USA,"('Comedy',)","('F Murray Abraham', 'Helena Bonham Carter', 'Michael Rapaport', 'Mira Sorvino', 'Woody Allen')"
53,Lamerica,1994,8.0,3.9,10,239,90,82,Gianni Amelio,Italy,"('Drama',)","('Carmelo Di Mazzarelli', 'Elida Janushi', 'Enrico Lo Verso', 'Michele Placido', 'Piro Milkani')"
54,"Big Green, The",1995,2.8,2.7,5,2596,0,47,Holly Goldberg Sloan,USA,"(""Children's"", 'Comedy')","('Gil Glasgow', 'John Bourg', ""Olivia d'Abo"", 'Steve Guttenberg', 'Yareli Arizmendi')"
55,Georgia,1995,3.8,3.0,116,64056,17,55,Garry Marshall,USA,"('Drama',)","('Cary Elwes', 'Dermot Mulroney', 'Felicity Huffman', 'Jane Fonda', 'Lindsay Lohan')"
56,Kids of the Round Table,1995,0.0,0.0,0,0,0,0,Robert Tinnell,USA,"('Adventure', ""Children's"", 'Fantasy')","('Billy Coyle', 'Christopher Olscamp', 'Jeoffrey Graves', 'Johnny Morina', 'Justin Borntraeger')"
57,Home for the Holidays,1995,6.0,3.4,44,3045,63,69,Jodie Foster,USA,"('Drama',)","('Anne Bancroft', 'Charles Durning', 'Geraldine Chaplin', 'Holly Hunter', 'Robert Downey Jr.')"
58,"Postino, Il (The Postman)",1994,7.9,4.1,25,5794,92,92,Michael Radford,Italy,"('Drama', 'Romance')","('Linda Moretti', 'Maria Grazia Cucinotta', 'Massimo Troisi', 'Philippe Noiret', 'Renato Scarpa')"
59,"Confessional, The (Le Confessionnal)",1995,0.0,0.0,1,0,100,0,Robert Lepage,Canada,"('Drama', 'Mystery')","('Anne-Marie Cadieux', 'Suzanne Clément', 'Normand Daneau', 'Richard Fréchette', 'Marie Gignac')"
60,"Indian in the Cupboard, The",1995,6.2,2.7,19,5127,68,41,Frank Oz,USA,"('Adventure', ""Children's"", 'Fantasy')","('David Keith', 'Hal Scardino', 'Lindsay Crouse', 'Litefoot', 'Richard Jenkins')"
61,Eye for an Eye,1996,0.0,0.0,0,0,0,0,Sara Botsford,USA,"('Drama', 'Thriller')","('Graham Greene', 'Geneviève Bujold', 'Nancy Beatty')"
62,Mr. Holland's Opus,1995,6.7,3.5,26,9569,73,79,Stephen Herek,USA,"('Drama',)","('Glenne Headly', 'Jay Thomas', 'Richard Dreyfuss', 'Olympia Dukakis', 'William H. Macy')"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,4.5,0.0,24,0,29,0,Paris Barclay,USA,"('Comedy',)","('Chris Spencer', 'Marlon Wayans', 'Shawn Wayans', 'Suli McCullough', 'Tracey Cherelle Jones')"
64,Two if by Sea,1996,3.9,2.6,27,1608,11,29,Bill Bennett,USA,"('Comedy', 'Romance')","('Denis Leary', 'Sandra Bullock', 'Stephen Dillane', 'Wayne Robson', 'Yaphet Kotto')"
65,Bio-Dome,1996,1.9,2.6,21,8972,4,51,Jason Bloom,USA,"('Comedy',)","('Joey Lauren Adams', 'Pauly Shore', 'Stephen Baldwin', 'Teresa Hill', 'William Atherton')"
66,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,2.1,9,952,11,18,Farhad Mann,USA,"('Sci-Fi', 'Thriller')","(""Austin O'Brien"", 'Ely Pouget', 'Kevin Conway', 'Matt Frewer', 'Patrick Bergin')"
67,Two Bits,1995,5.0,3.3,10,685,40,54,James Foley,USA,"('Drama',)","('Joanna Merlin', 'Al Pacino', 'Jerry Barone', 'Joe Grifasi', 'Mary Elizabeth Mastranton...')"
68,French Twist (Gazon maudit),1995,6.1,3.4,10,597,50,58,Josiane Balasko,France,"('Comedy', 'Romance')","('Alain Chabat', 'Josiane Balasko', 'Katrine Boorman', 'Ticky Holgado', 'Victoria Abril')"
69,Friday,1995,0.0,0.0,0,0,0,0,Marek Koterski,USA,"('Comedy',)","('Bozena Dykiel', 'Cezary Pazura', 'Marek Kondrat')"
70,From Dusk Till Dawn,1996,6.0,3.4,43,36073,62,75,Robert Rodriguez,USA,"('Action', 'Comedy', 'Crime', 'Horror', 'Thriller')","('Cheech Marin', 'George Clooney', 'Harvey Keitel', 'Juliette Lewis', 'Quentin Tarantino')"
71,Fair Game,1995,2.4,2.1,24,1761,12,16,Andrew Sipes,USA,"('Action',)","('Christopher McDonald', 'Cindy Crawford', 'Miguel Sandoval', 'Steven Berkoff', 'William Baldwin')"
72,Kicking and Screaming,1995,5.1,3.0,137,14260,41,51,Jesse Dylan,USA,"('Comedy', 'Drama')","('Kate Walsh', 'Mike Ditka', 'Musetta Vander', 'Robert Duvall', 'Will Ferrell')"
73,"Misï¿½rables, Les",1995,6.9,3.6,41,7310,75,81,Bille August,UK,"('Drama', 'Musical')","('Christopher Adamson', 'Claire Danes', 'Geoffrey Rush', 'Liam Neeson', 'Uma Thurman')"
74,Bed of Roses,1996,5.3,3.2,14,3163,21,66,Michael Goldenberg,USA,"('Drama', 'Romance')","('Ally Walker', 'Christian Slater', 'Josh Brolin', 'Mary Stuart Masterson', 'Pamela Segall')"
75,Big Bully,1996,2.8,2.4,7,1459,0,23,Steve Miner,USA,"('Comedy', 'Drama')","('Carol Kane', 'Jeffrey Tambor', 'Julianne Phillips', 'Rick Moranis', 'Tom Arnold')"
76,Screamers,1995,4.7,3.0,30,2070,30,45,Christian Duguay,Canada,"('Sci-Fi', 'Thriller')","('Andrew Lauer', 'Bruce Boa', 'Jason Cavalier', 'Liliana Komorowska', 'Roy Dupuis')"
77,Nico Icon,1995,7.1,4.0,13,87,84,85,Susanne Ofteringer,Germany,"('Documentary',)","('Andy Warhol', 'Billy Name', 'Jackson Browne', 'John Cale', 'Jonas Mekas')"
78,"Crossing Guard, The",1995,6.5,3.3,27,2170,74,56,Sean Penn,USA,"('Drama',)","('David Morse', 'Anjelica Huston', 'Jack Nicholson', 'Piper Laurie', 'Robin Wright Penn')"
79,"Juror, The",1996,4.4,2.8,19,2266,15,39,Brian Gibson,USA,"('Drama', 'Thriller')","('Alec Baldwin', 'Anne Heche', 'Demi Moore', 'James Gandolfini', 'Joseph Gordon-Levitt')"
80,"White Balloon, The (Badkonake Sefid )",1995,6.8,4.0,20,547,80,86,Jafar Panahi,Iran,"('Drama',)","('Aida Mohammadkhani', 'Anna Bourkowska', 'Fereshtch Sadr Orfani', 'Mohammad Bahktiari', 'Mohsen Kalifi')"
81,Things to Do in Denver when You're Dead,1995,4.9,3.5,27,3197,33,72,Gary Fleder,USA,"('Crime', 'Drama', 'Romance')","('William Forsythe', 'Andy Garcia', 'Bill Nunn', 'Christopher Lloyd', 'Treat Williams')"
82,Antonia's Line (Antonia),1995,6.5,4.2,25,1707,64,90,Marleen Gorris,Netherlands,"('Drama',)","('Els Dottermans', 'Jan Decleir', 'Marina De Graaf', 'Mil Seghers', 'Willeke van Ammelrooy')"
83,Once Upon a Time... When We Were Colored,1995,7.3,3.7,14,414,71,76,Tim Reid,USA,"('Drama',)","('Al Freeman Jr.', 'Bernie Casey', 'Damon Hines', 'Isaac Hayes', 'Polly Bergen')"
84,Last Summer in the Hamptons,1995,5.6,3.3,15,89,60,47,Henry Jaglom,USA,"('Comedy', 'Drama')","('Jon Robin Baitz', 'Martha Plimpton', 'Melissa Leo', 'Victoria Foyt', 'Viveca Lindfors')"
85,Angels and Insects,1995,6.5,3.3,20,635,70,62,Philip Haas,USA,"('Drama', 'Romance')","('Douglas Henshall', 'Jeremy Kemp', 'Kristin Scott Thomas', 'Mark Rylance', 'Patsy Kensit')"
86,White Squall,1996,5.8,3.2,30,3184,63,62,Director Ridley Scott,USA,"('Adventure', 'Drama')","('Caroline Goodall', 'Jeff Bridges', 'Jeremy Sisto', 'John Savage', 'Scott Wolf')"
87,Dunston Checks In,1996,3.8,2.5,15,2935,6,39,Ken Kwapis,USA,"(""Children's"", 'Comedy')","('Eric Lloyd', 'Faye Dunaway', 'Graham Sack', 'Jason Alexander', 'Rupert Everett')"
88,Black Sheep,1996,6.4,3.2,87,19454,70,54,Jonathan King,New Zealand,"('Comedy',)","('Danielle Mason', 'Glenis Levestam', 'Nathan Meister', 'Peter Feeney', 'Tammy Davis')"
89,Nick of Time,1995,4.6,3.1,28,10563,28,54,John Badham,USA,"('Action', 'Thriller')","('Charles S. Dutton', 'Christopher Walken', 'Johnny Depp', 'Peter Strauss', 'Roma Maffia')"
90,"Journey of August King, The",1995,6.2,3.1,7,286,57,54,John Duigan,USA,"('Drama',)","('Jason Patric', 'Larry Drake', 'Nesbitt Blaisdell', 'Sam Waterston', 'Thandie Newton')"
92,Mary Reilly,1996,4.4,2.8,41,3733,26,41,Stephen Frears,USA,"('Drama', 'Thriller')","('George Cole', 'Glenn Close', 'John Malkovich', 'Julia Roberts', 'Kathy Staff')"
93,Vampire in Brooklyn,1995,3.6,2.4,28,6122,10,37,Wes Craven,USA,"('Comedy', 'Romance')","('Allen Payne', 'Angela Bassett', 'Eddie Murphy', 'John Witherspoon', 'Kadeem Hardison')"
94,Beautiful Girls,1996,7.0,3.6,46,4674,78,79,Ted Demme,USA,"('Drama',)","('Annabeth Gish', 'Matt Dillon', 'Michael Rapaport', 'Noah Emmerich', 'Timothy Hutton')"
95,Broken Arrow,1996,5.8,2.9,29,12489,55,51,John Woo,USA,"('Action', 'Thriller')","('Bob Gunton', 'Christian Slater', 'Delroy Lindo', 'John Travolta', 'Samantha Mathis')"
96,In the Bleak Midwinter,1995,7.3,4.1,19,309,89,88,Kenneth Branagh,UK,"('Comedy',)","('Gerard Horan', 'Mark Hadfield', 'Michael Maloney', 'Nicholas Farrell', 'Richard Briers')"
97,"Hate (Haine, La)",1995,8.0,4.3,14,11987,100,95,Mathieu Kassovitz,France,"('Drama',)","('Edouard Montoute', 'François Levantal', 'Hubert Kounde', 'Said Taghmaoui', 'Vincent Cassel')"
98,Shopping,1994,5.0,2.8,29,691,41,37,Henry Jaglom,USA,"('Action', 'Thriller')","('Bruce Davison', 'Lee Grant', 'Mae Whitman', 'Rob Morrow', 'Victoria Foyt')"
99,Heidi Fleiss: Hollywood Madam,1995,7.5,3.0,7,281,71,46,Nick Broomfield,UK,"('Documentary',)","('Cookie', 'Heidi Fleiss', 'Ivan Nagy', 'Madam Alex', 'Nick Broomfield')"
100,City Hall,1996,6.1,3.0,22,2730,54,42,Harold Becker,USA,"('Drama', 'Thriller')","('Al Pacino', 'Bridget Fonda', 'Danny Aiello', 'John Cusack', 'Martin Landau')"
101,Bottle Rocket,1996,6.6,3.7,42,16217,78,80,Wes Anderson,USA,"('Comedy',)","('James Caan', 'Luke Wilson', 'Lumi Cavazos', 'Owen Wilson', 'Robert Musgrave')"
102,Mr. Wrong,1996,3.1,2.4,28,1544,3,29,Nick Castle,USA,"('Comedy',)","('Bill Pullman', 'Dean Stockwell', 'Ellen DeGeneres', 'Joan Cusack', 'Joan Plowright')"
103,Unforgettable,1996,4.4,3.0,26,358,23,36,John Dahl,USA,"('Thriller',)","('Christopher McDonald', 'Kim Cattrall', 'Linda Fiorentino', 'Peter Coyote', 'Ray Liotta')"
104,Happy Gilmore,1996,5.5,3.7,50,114875,58,83,Dennis Dugan,USA,"('Comedy',)","('Adam Sandler', 'Carl Weathers', 'Christopher McDonald', 'Frances Bay', 'Julie Bowen')"
105,"Bridges of Madison County, The",1995,7.2,3.6,40,11573,90,83,Clint Eastwood,USA,"('Drama', 'Romance')","('Annie Corley', 'Clint Eastwood', 'Jim Haynie', 'Meryl Streep', 'Victor Slezak')"
106,Nobody Loves Me (Keiner liebt mich),1994,6.0,4.2,6,161,66,89,Doris Dörrie,Germany,"('Comedy', 'Drama')","('Anja Hoffmann', 'Elisabeth Trissenaar', 'Erwin Grosche', 'Joachim Król', 'Lorose Keller')"
107,Muppet Treasure Island,1996,6.1,3.2,22,8588,68,68,Brian Henson,USA,"('Adventure', ""Children's"", 'Comedy', 'Musical')","('Billy Connolly', 'Frank Oz', 'Jennifer Saunders', 'Kevin Bishop', 'Tim Curry')"
110,Braveheart,1995,7.0,3.8,48,204275,77,83,Mel Gibson,USA,"('Action', 'Drama', 'War')","('Brendan Gleeson', 'Catherine McCormack', 'Mel Gibson', 'Patrick McGoohan', 'Sophie Marceau')"
111,Taxi Driver,1976,8.7,4.1,50,58145,98,93,Martin Scorsese,USA,"('Drama', 'Thriller')","('Peter Boyle', 'Albert Brooks', 'Cybill Shepherd', 'Harvey Keitel', 'Robert De Niro')"
112,Rumble in the Bronx,1995,6.4,3.1,52,7517,78,62,Stanley Tong,Hong Kong,"('Action', 'Adventure', 'Crime')","('Anita Mui', 'Bill Tung', 'Francoise Yip', 'Jackie Chan', 'Marc Akerstream')"
113,Before and After,1996,4.8,3.0,19,1276,31,39,Barbet Schroeder,USA,"('Drama', 'Mystery')","('Alfred Molina', 'Edward Furlong', 'Julia Weldon', 'Liam Neeson', 'Meryl Streep')"
114,Margaret's Museum,1995,6.9,3.7,6,500,66,76,Mort Ransen,Canada,"('Drama',)","('Clive Russell', 'Craig Olejnik', 'Helena Bonham Carter', 'Kate Nelligan', 'Kenneth Welsh')"
115,Happiness Is in the Field,1995,0.0,0.0,0,0,0,0,Étienne Chatiliez,France,"('Comedy',)","('Eddy Mitchell', 'Michel Serrault', 'Sabine Azéma')"
116,Anne Frank Remembered,1995,7.8,3.7,27,1076,96,79,John Blair,UK,"('Documentary',)","('Anne Frank', 'Ashley Johnson', 'Glenn Close', 'Kenneth Branagh', 'Miep Gies')"
117,"Young Poisoner's Handbook, The",1995,7.1,3.7,13,541,84,79,Benjamin Ross,UK,"('Crime',)","('Antony Sher', 'Charlotte Coleman', 'Dorothea Alexander', ""Hugh O'Conor"", 'Jack Deam')"
118,If Lucy Fell,1996,4.0,3.1,26,1202,19,49,Eric Schaeffer,USA,"('Comedy', 'Romance')","('Ben Stiller', 'Elle Macpherson', 'Eric Schaeffer', 'James Rebhorn', 'Sarah Jessica Parker')"
119,"Steal Big, Steal Little",1995,4.5,2.9,13,555,15,36,Andrew Davis,USA,"('Comedy',)","('Alan Arkin', 'Ally Walker', 'Andy Garcia', 'Joe Pantoliano', 'Rachel Ticotin')"
120,Race the Sun,1996,4.8,2.9,9,822,22,40,Charles T. Kanganis,USA,"('Drama',)","('Casey Affleck', 'Eliza Dushku', 'Halle Berry', 'James Belushi', 'Kevin Tighe')"
121,"Boys of St. Vincent, The",1993,8.2,3.5,6,401,100,77,John N. Smith,Canada,"('Drama',)","('Brian Dodd', 'Henry Czerny', 'Johnny Morina', 'Lise Roy', 'Sebastian Spence')"
122,Boomerang,1992,4.8,2.8,27,4751,37,55,Reginald Hudlin,USA,"('Comedy', 'Romance')","('David Alan Grier', 'Eddie Murphy', 'Grace Jones', 'Halle Berry', 'Robin Givens')"
123,Chungking Express,1994,7.7,4.2,27,11068,96,93,Kar Wai Wong,Hong Kong,"('Drama', 'Mystery', 'Romance')","('Brigitte Lin', 'Faye Wong', 'Takeshi Kaneshiro', 'Tony Leung Chiu-Wai', 'Valerie Chow')"
124,"Star Maker, The (Uomo delle stelle, L')",1995,6.5,3.7,12,543,75,73,Giuseppe Tornatore,Italy,"('Drama',)","('Antonella Attili', 'Clelia Rondinella', 'Franco Scaldati', 'Jane Alexander', 'Leo Gullotta')"
125,Flirting With Disaster,1996,7.4,3.3,42,2127,85,65,David O. Russell,USA,"('Comedy',)","('George Segal', 'Ben Stiller', 'Mary Tyler Moore', 'Patricia Arquette', 'Téa Leoni')"
126,"NeverEnding Story III, The",1994,0.0,0.0,3,0,33,0,Peter MacDonald,Germany,"('Adventure', ""Children's"", 'Fantasy')","('Carole Finn', 'Freddie Jones', 'Jack Black', 'Jason James Richter', 'Julie Cox')"
128,Jupiter's Wife,1994,0.0,0.0,4,0,75,0,Michel Negroponte,USA,"('Documentary',)","('Maggie Cogan', 'Katina Pendleton')"
129,Pie in the Sky,1995,0.0,0.0,2,0,50,0,Bryan Gordon,USA,"('Comedy', 'Romance')","('Anne Heche', 'Christine Ebersole', 'John Goodman', 'Josh Charles', 'Peter Riegert')"
130,Angela,1995,5.7,3.6,84,4588,52,79,Alan Parker,USA,"('Drama',)","('Michael Legge', 'Ciaran Owens', 'Emily Watson', 'Joe Breen', 'Robert Carlyle')"
131,Frankie Starlight,1995,5.8,3.8,6,133,66,61,Michael Lindsay-Hogg,France,"('Drama', 'Romance')","('Anne Parillaud', 'Corban Walker', 'Gabriel Byrne', 'Matt Dillon', 'Rudi Davies')"
132,Jade,1995,5.2,3.1,122,4108,45,52,Woody Allen,USA,"('Thriller',)","('Dan Aykroyd', 'Elizabeth Berkley', 'Helen Hunt', 'John Schuck', 'Woody Allen')"
