id,title,imdbID,genre
60,The Indian in the Cupboard,113419,"Drama, Family, Fantasy"
61,Eye for an Eye,116260,"Crime, Drama, Thriller"
62,Mr. Holland's Opus,113862,"Drama, Music"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,116126,"Comedy, Crime"
64,Two If by Sea,118002,"Comedy, Crime, Romance"
65,Bio-Dome,115683,Comedy
66,Lawnmower Man 2: Beyond Cyberspace,116839,"Action, Sci-Fi, Thriller"
67,Two Bits,114753,Drama
68,Gazon maudit,113149,Comedy
69,Friday,113118,"Comedy, Drama"
70,From Dusk Till Dawn,116367,"Crime, Fantasy, Horror"
71,Fair Game,113010,"Action, Crime, Romance"
72,Kicking & Screaming,384642,"Comedy, Family, Romance"
73,Les misérables,119683,"Crime, Drama, History"
74,Bed of Roses,115644,"Romance, Drama"
75,Big Bully,115676,"Comedy, Thriller"
76,Screamers,114367,"Sci-Fi, Thriller"
77,Nico Icon,113973,"Documentary, Biography, Music"
78,The Crossing Guard,112744,Drama
79,The Juror,116731,"Drama, Thriller"
80,Badkonake sefid,112445,"Drama, Family"
81,Things to Do in Denver When You're Dead,114660,"Crime, Drama"
82,Antonia,112379,"Comedy, Drama"
83,Once Upon a Time... When We Were Colored,114039,"Drama, Romance"
84,Last Summer in the Hamptons,113612,"Comedy, Drama"
85,Angels and Insects,112365,"Drama, Romance"
86,White Squall,118158,"Adventure, Drama"
87,Dunston Checks In,116151,"Comedy, Adventure, Family"
88,Black Sheep,779982,"Comedy, Horror, Sci-Fi"
89,Nick of Time,113972,"Action, Crime, Drama"
90,The Journey of August King,113490,Drama
92,Mary Reilly,117002,"Drama, Horror, Romance"
93,Vampire in Brooklyn,114825,"Comedy, Fantasy, Horror"
94,Beautiful Girls,115639,"Comedy, Drama, Romance"
95,Broken Arrow,115759,"Action, Crime, Thriller"
96,In the Bleak Midwinter,113403,Comedy
97,La haine,113247,"Crime, Drama"
98,Going Shopping,295605,"Drama, Romance"
99,Heidi Fleiss: Hollywood Madam,113283,"Documentary, Biography"
100,City Hall,115907,"Drama, Thriller"
101,Bottle Rocket,115734,"Comedy, Crime, Drama"
102,Mr. Wrong,117102,Comedy
103,Unforgettable,118040,"Drama, Mystery, Sci-Fi"
104,Happy Gilmore,116483,"Comedy, Sport"
105,The Bridges of Madison County,112579,"Drama, Romance"
106,Keiner liebt mich,110251,"Comedy, Drama"
107,Muppet Treasure Island,117110,"Action, Adventure, Comedy"
110,Braveheart,112573,"Biography, Drama, History"
111,Taxi Driver,75314,"Crime, Drama"
112,Hung fan kui,113326,"Action, Comedy"
113,Before and After,115645,"Crime, Drama, Mystery"
114,Margaret's Museum,113774,Drama
115,Le bonheur est dans le pré,112556,Comedy
116,Anne Frank Remembered,112373,"Documentary, Biography, War"
117,The Young Poisoner's Handbook,115033,"Crime, Drama"
118,If Lucy Fell,116606,"Comedy, Romance"
119,Steal Big Steal Little,114536,Comedy
120,Race the Sun,117427,"Adventure, Comedy, Drama"
121,The Boys of St. Vincent,106473,Drama
122,Boomerang,103859,"Comedy, Drama, Romance"
123,Chung Hing sam lam,109424,"Comedy, Drama, Romance"
124,L'uomo delle stelle,114808,"Drama, Romance"
125,Flirting with Disaster,116324,Comedy
126,The Neverending Story III,110647,"Adventure, Comedy, Family"
128,Jupiter's Wife,110217,"Documentary, Biography, Mystery"
129,Pie in the Sky,114131,"Comedy, Romance"
130,Angela's Ashes,145653,Drama
131,Frankie Starlight,113107,"Drama, Romance, War"
132,The Curse of the Jade Scorpion,256524,"Comedy, Crime, Mystery"
134,Sonic Outlaws,114500,Documentary
135,Down Periscope,116130,Comedy
136,From the Journals of Jean Seberg,113125,"Documentary, Biography"
137,Man of the Year,483726,"Comedy, Drama, Romance"
139,Hard Target,107076,"Action, Thriller"
140,Up Close & Personal,118055,"Drama, Romance"
141,The Birdcage,115685,Comedy
143,Gospa,113200,Drama
144,The Brothers McMullen,112585,"Comedy, Drama, Romance"
145,Bad Boys,112442,"Action, Comedy, Crime"
146,The Amazing Panda Adventure,112342,"Family, Adventure, Drama"
147,The Basketball Diaries,112461,"Biography, Crime, Drama"
148,An Awfully Big Adventure,112427,"Comedy, Drama, Romance"
149,The Moguls,405163,Comedy
150,Apollo 13,112384,"Adventure, Drama, History"
151,Rob Roy,114287,"Adventure, Biography, History"
152,Basic Instinct 2,430912,"Crime, Mystery, Thriller"
153,Batman Forever,112462,"Action, Adventure, Fantasy"
154,Belle de jour,61395,Drama
155,Beyond Rangoon,112495,"Action, Drama"
156,Blue in the Face,112541,Comedy
157,Canadian Bacon,109370,Comedy
158,Casper,112642,"Animation, Comedy, Family"
159,Clockers,112688,"Crime, Drama, Mystery"
160,Congo,112715,"Action, Adventure, Mystery"
161,Crimson Tide,112740,"Action, Drama, Thriller"
162,Crumb,109508,"Documentary, Biography, Comedy"
163,Desperado,112851,"Action, Crime, Thriller"
164,Devil in a Blue Dress,112857,"Crime, Drama, Mystery"
165,Die Hard: With a Vengeance,112864,"Action, Adventure, Thriller"
166,The Doom Generation,112887,"Action, Comedy, Crime"
167,Feast of July,113044,"Crime, Drama, Mystery"
168,First Knight,113071,"Action, Adventure, Romance"
169,Free Willy 2: The Adventure Home,113114,"Adventure, Drama, Family"
170,Hackers,113243,"Comedy, Crime, Drama"
171,Jeffrey,113464,"Comedy, Drama"
172,Johnny Mnemonic,113481,"Action, Crime, Sci-Fi"
173,Judge Dredd,113492,"Action, Crime, Sci-Fi"
174,Jury Duty,113500,Comedy
175,Kids,113540,"Drama, Romance"
176,Living in Oblivion,113677,"Comedy, Drama"
177,Lord of Illusions,113690,"Horror, Mystery, Thriller"
178,Love & Human Remains,107447,"Drama, Comedy"
179,Mad Love,113729,"Drama, Romance"
180,Mallrats,113749,"Comedy, Romance"
181,Mighty Morphin Power Rangers: The Movie,113820,"Action, Adventure, Family"
182,Moonlight and Valentino,113851,"Comedy, Drama, Romance"
183,Mute Witness,110604,"Horror, Thriller"
184,Nadja,110620,"Drama, Horror"
185,The Net,113957,"Action, Crime, Drama"
186,Nine Months,113986,"Comedy, Romance"
187,Party Girl,114095,Comedy
188,The Prophecy,114194,"Action, Fantasy, Horror"
189,The Reckless Moment,41786,"Crime, Drama, Film-Noir"
190,Fail-Safe,58083,"Drama, Thriller"
191,The Scarlet Letter,114345,"Drama, Romance"
193,Showgirls,114436,Drama
194,Smoke,114478,"Comedy, Drama"
195,Something to Talk About,114496,"Comedy, Drama, Romance"
196,Species,114508,"Action, Horror, Romance"
197,The Stars Fell on Henrietta,114534,Drama
198,Strange Days,114558,"Action, Crime, Drama"
199,Les parapluies de Cherbourg,58450,"Drama, Musical, Romance"
200,The Tie That Binds,114666,"Crime, Drama, Thriller"
201,Three Wishes,114663,"Drama, Fantasy"
202,Total Eclipse,114702,"Biography, Drama, Romance"
203,"To Wong Foo Thanks for Everything, Julie Newmar",114682,"Comedy, Drama"
204,Under Siege 2: Dark Territory,114781,"Action, Thriller"
205,Unstrung Heroes,114798,"Comedy, Drama"
206,Unzipped,114805,Documentary
207,A Walk in the Clouds,114887,"Drama, Romance"
208,Waterworld,114898,"Action, Adventure, Sci-Fi"
209,White Man's Burden,114928,"Drama, Thriller"
210,Wild Bill,114938,"Action, Biography, Western"
211,The Browning Version,43362,Drama
212,Bushwhacked,112602,"Adventure, Comedy, Crime"
213,Utomlyonnye solntsem,111579,"Drama, War"
214,Before the Rain,110882,"Drama, War"
215,Before Sunrise,112471,"Drama, Romance"
216,Billy Madison,112508,Comedy
217,The Babysitters,796302,Drama
218,Boys on the Side,112571,"Comedy, Drama"
219,The Cure,112757,Drama
220,Castle Freak,112643,"Drama, Horror, Mystery"
222,Circle of Friends,112679,"Drama, Romance"
223,Clerks.,109445,Comedy
224,Don Juan DeMarco,112883,"Comedy, Drama, Romance"
225,Disclosure,109635,"Drama, Thriller"
226,Tucker: The Man and His Dream,96316,"Biography, Drama"
227,Drop Zone,109676,"Action, Adventure, Thriller"
228,Destiny Turns on the Radio,112854,"Crime, Comedy, Fantasy"
229,Death and the Maiden,109579,"Drama, Mystery, Thriller"
230,Dolores Claiborne,109642,"Crime, Drama, Mystery"
231,Dumb & Dumber,109686,Comedy
232,Yin shi nan nu,111797,"Comedy, Drama, Romance"
233,Exotica,109759,"Drama, Mystery, Romance"
234,Exit to Eden,109758,"Comedy, Crime, Romance"
235,Ed Wood,109707,"Biography, Comedy, Drama"
236,French Kiss,113117,"Comedy, Drama, Romance"
237,Forget Paris,113097,"Comedy, Romance"
238,Far from Home: The Adventures of Yellow Dog,113028,"Adventure, Family"
239,A Goofy Movie,113198,"Animation, Adventure, Comedy"
240,Hideaway,113303,"Fantasy, Horror, Thriller"
241,Fluke,113089,"Drama, Family, Fantasy"
242,Farinelli,109771,"Biography, Drama, Music"
243,Flash Gordon,80745,"Action, Adventure, Sci-Fi"
244,Gumby: The Movie,113234,"Animation, Action, Adventure"
245,The Glass Shield,109906,"Crime, Drama"
246,Hoop Dreams,110057,"Documentary, Drama, Sport"
247,Heavenly Creatures,110005,"Biography, Crime, Drama"
248,Houseguest,110066,Comedy
249,Immortal Beloved,110116,"Biography, Drama, Music"
250,Heavy Weights,110006,"Comedy, Drama, Family"
251,The Hunted,269347,"Action, Crime, Drama"
252,I.Q.,110099,"Comedy, Romance"
253,Interview with the Vampire: The Vampire Chronicles,110148,"Drama, Fantasy, Horror"
254,Jefferson in Paris,113463,"Biography, Drama, History"
255,The Jerky Boys,110189,"Comedy, Crime"
256,Junior,110216,"Comedy, Romance, Sci-Fi"
257,Just Cause,113501,"Action, Crime, Drama"
258,A Kid in King Arthur's Court,113538,"Adventure, Comedy, Family"
259,Kiss of Death,113552,"Action, Crime, Thriller"
260,Star Wars,76759,"Action, Adventure, Fantasy"
261,Little Women,110367,"Drama, Family, Romance"
262,A Little Princess,113670,"Drama, Family, Fantasy"
263,Ladybird Ladybird,110296,Drama
264,L'enfer,109731,"Crime, Drama"
265,Como agua para chocolate,103994,"Drama, Romance"
266,Legends of the Fall,110322,"Drama, Romance, War"
267,Major Payne,110443,"Adventure, Comedy, Family"
268,Little Odessa,110365,"Crime, Drama"
269,Mi vida loca,107566,"Crime, Drama"
270,Love Affair,110391,"Comedy, Drama, Romance"
271,Losing Isaiah,113691,Drama
272,The Madness of King George,110428,"Biography, Comedy, Drama"
273,Frankenstein,21884,"Drama, Horror, Sci-Fi"
274,Man of the House,331933,"Action, Comedy"
275,Mixed Nuts,110538,"Comedy, Drama"
276,Milk Money,110516,"Comedy, Romance"
277,Miracle on 34th Street,39628,"Comedy, Crime, Drama"
278,Miami Rhapsody,113808,Comedy
279,My Family,113896,Drama
280,Murder in the First,113870,"Drama, Thriller"
281,Nobody's Fool,91642,"Comedy, Drama, Romance"
282,Nell,110638,Drama
283,New Jersey Drive,113967,"Crime, Drama"
284,Nyû Yôku no koppu,117169,"Action, Crime, Drama"
285,Beyond Bedlam,106402,"Comedy, Horror"
286,Nemesis 2: Nebula,113948,"Action, Sci-Fi, Thriller"
287,Nina Takes a Lover,110671,"Comedy, Romance"
288,Natural Born Killers,110632,"Crime, Drama"
289,Only You,110737,"Comedy, Romance"
290,Once Were Warriors,110729,"Crime, Drama"
291,Poison Ivy II,114151,"Drama, Thriller"
292,Outbreak,114069,"Action, Drama, Thriller"
293,Léon,110413,"Crime, Drama, Thriller"
294,The Perez Family,114113,"Comedy, Romance, Drama"
295,A Pyromaniac's Love Story,114210,"Comedy, Romance"
296,Pulp Fiction,110912,"Crime, Drama"
297,The Pink Panther 2,838232,"Adventure, Comedy, Crime"
298,Tui shou,105652,"Comedy, Drama"
299,Priest,110889,"Drama, Romance"
300,Quiz Show,110932,"Drama, History"
301,Picture Bride,114129,"Drama, Romance"
302,La reine Margot,110963,"Biography, Crime, Drama"
303,The Quick and the Dead,114214,"Action, Romance, Thriller"
304,Roommates,114296,"Comedy, Drama"
305,Prêt-à-Porter,110907,"Comedy, Drama"
306,Trois couleurs: Rouge,111495,"Drama, Mystery, Romance"
307,Trois couleurs: Bleu,108394,"Drama, Music, Mystery"
308,Trzy kolory: Bialy,111507,"Comedy, Drama, Romance"
309,Pao Da Shuang Deng,110769,"Drama, Romance"
310,Rent-a-Kid,114268,"Drama, Family, Comedy"
312,Stuart Saves His Family,114571,"Comedy, Drama"
313,The Swan Princess,111333,"Animation, Comedy, Family"
314,The Secret of Roan Inish,111112,"Drama, Family, Fantasy"
315,The Specialist,111255,"Action, Crime, Drama"
316,Stargate,111282,"Action, Adventure, Sci-Fi"
317,Santa Claus,89961,"Adventure, Family, Fantasy"
318,The Shawshank Redemption,111161,"Crime, Drama"
319,Shallow Grave,111149,"Crime, Thriller"
320,Suture,108260,"Drama, Thriller"
321,Fresa y chocolate,106966,"Comedy, Drama, Romance"
322,Swimming with Sharks,114594,"Comedy, Crime"
324,The Sum of Us,111309,"Comedy, Drama"
325,Senior Trip,113936,"Adventure, Comedy"
326,Huozhe,110081,"Drama, History, War"
327,Tank Girl,114614,"Action, Comedy, Sci-Fi"
328,Tales from the Crypt: Demon Knight,114608,"Action, Fantasy, Horror"
329,Star Trek: Generations,111280,"Action, Adventure, Mystery"
330,Tales from the Hood,114609,"Comedy, Horror, Thriller"
331,Tom & Viv,111454,"Biography, Drama, Romance"
332,Village of the Damned,114852,"Horror, Sci-Fi, Thriller"
333,Tommy Boy,114694,"Adventure, Comedy"
334,Vanya on 42nd Street,111590,"Comedy, Drama, Romance"
335,Underneath,114788,"Crime, Thriller"
336,Incubo sulla città contaminata,80931,"Action, Horror, Sci-Fi"
337,What's Eating Gilbert Grape,108550,"Drama, Romance"
338,Virtuosity,114857,"Action, Crime, Sci-Fi"
339,While You Were Sleeping,114924,"Comedy, Drama, Romance"
340,War,499556,"Action, Crime, Thriller"
341,Double Happiness,109655,Drama
342,Muriel's Wedding,110598,"Comedy, Drama, Romance"
343,The Baby-Sitters Club,112435,"Comedy, Drama, Family"
344,Ace Ventura: Pet Detective,109040,Comedy
345,"The Adventures of Priscilla, Queen of the Desert",109045,"Comedy, Music"
346,Backbeat,106339,"Biography, Drama, Music"
347,Bitter Moon,104779,"Drama, Romance, Thriller"
348,Bullets Over Broadway,109348,"Comedy, Crime"
349,Clear and Present Danger,109444,"Action, Crime, Drama"
350,The Client,109446,"Crime, Drama, Mystery"
351,"Corrina, Corrina",109484,"Comedy, Drama, Romance"
352,Crooklyn,109504,"Comedy, Drama"
353,The Crow,109506,"Action, Drama, Fantasy"
354,Cobb,109450,"Biography, Drama, Sport"
355,The Flintstones,109813,"Comedy, Family, Fantasy"
356,Forrest Gump,109830,"Comedy, Drama"
357,Four Weddings and a Funeral,109831,"Comedy, Drama, Romance"
358,Higher Learning,113305,"Crime, Drama, Romance"
359,I Like It Like That,110091,"Comedy, Drama, Romance"
360,I Love Trouble,110093,"Action, Comedy, Romance"
361,It Could Happen to You,110167,"Comedy, Drama, Romance"
362,The Jungle Book,61852,"Animation, Adventure, Comedy"
363,Die Macht der Bilder: Leni Riefenstahl,107472,"Documentary, Biography, History"
364,The Lion King,110357,"Animation, Adventure, Drama"
365,Little Buddha,107426,Drama
366,New Nightmare,111686,"Fantasy, Horror, Mystery"
367,The Mask,110475,"Action, Comedy, Crime"
368,Maverick,110478,"Action, Adventure, Comedy"
369,Mrs. Parker and the Vicious Circle,110588,"Biography, Drama"
370,Naked Gun 33 1/3: The Final Insult,110622,"Comedy, Crime"
371,The Paper,110771,"Comedy, Drama"
372,Reality Bites,110950,"Comedy, Drama, Romance"
373,Red Rock West,105226,"Crime, Drama, Thriller"
374,Ri¢hie Ri¢h,110989,"Comedy, Family"
375,Safe Passage,111054,Drama
376,The River Wild,110997,"Action, Adventure, Crime"
377,Speed,111257,"Action, Adventure, Crime"
378,Speechless,111256,"Comedy, Romance"
379,Timecop,111438,"Action, Crime, Sci-Fi"
380,True Lies,111503,"Action, Comedy, Thriller"
381,When a Man Loves a Woman,111693,"Drama, Romance"
382,Wolf,111742,"Drama, Horror, Romance"
383,Wyatt Earp,111756,"Adventure, Biography, Crime"
384,Bad Company,280486,"Action, Adventure, Comedy"
385,A Man of No Importance,110455,"Comedy, Drama"
386,S.F.W.,111048,"Comedy, Drama"
387,A Low Down Dirty Shame,110399,"Action, Comedy, Crime"
388,This Boy's Life,108330,"Biography, Drama"
389,Le colonel Chabert,109454,"Drama, History, Romance"
390,"Faster, Pussycat! Kill! Kill!",59170,"Action, Comedy"
391,Jason's Lyric,110186,"Crime, Drama"
392,The Secret Adventures of Tom Thumb,108069,"Animation, Adventure, Sci-Fi"
393,Street Fighter,111301,"Action, Adventure, Comedy"
394,In Cold Blood,61809,"Biography, Crime, Drama"
395,Desert Winds,112849,"Drama, Mystery, Romance"
396,Fall Time,113014,"Drama, Comedy, Crime"
397,Cape Fear,101540,"Crime, Thriller"
398,Frank and Ollie,113104,Documentary
401,Mirage,59448,"Mystery, Thriller"
402,Open Season,400717,"Animation, Adventure, Comedy"
404,Brother Minister: The Assassination of Malcolm X,109339,Documentary
405,Highlander III: The Sorcerer,110027,"Action, Fantasy, Romance"
406,Federal Hill,109785,"Crime, Drama"
407,In the Mouth of Madness,113409,"Fantasy, Horror, Mystery"
408,8 Seconds,109021,"Biography, Drama, Sport"
409,Above the Rim,109035,"Crime, Drama, Sport"
410,Addams Family Values,106220,"Comedy, Fantasy"
412,The Age of Innocence,106226,"Drama, Romance"
413,Airheads,109068,"Comedy, Crime, Music"
414,The Air Up There,109067,"Comedy, Family, Sport"
415,Another Stakeout,106292,"Action, Comedy, Crime"
416,Bad Girls,109198,"Romance, Western"
417,Vicky Cristina Barcelona,497465,"Drama, Romance"
418,Being Human,1349938,"Comedy, Drama, Fantasy"
419,The Beverly Hillbillies,106400,"Comedy, Family"
420,Beverly Hills Cop III,109254,"Action, Comedy, Crime"
421,Black Beauty,109279,"Adventure, Drama, Family"
423,Blown Away,109303,"Action, Crime, Drama"
424,Blue Chips,109305,"Drama, Sport"
425,Blue Sky,109306,"Drama, Romance"
426,Invasion of the Body Snatchers,49366,"Horror, Sci-Fi"
427,Boxing Helena,106471,"Drama, Mystery, Romance"
428,A Bronx Tale,106489,"Crime, Drama"
429,Cabin Boy,109361,"Adventure, Comedy, Romance"
430,Calendar Girls,337909,"Comedy, Drama"
431,Carlito's Way,106519,"Crime, Drama"
432,City Slickers II: The Legend of Curly's Gold,109439,"Comedy, Western"
433,Clean Slate,109443,"Comedy, Mystery"
434,Cliffhanger,106582,"Action, Adventure, Thriller"
435,Coneheads,106598,"Comedy, Sci-Fi"
436,Color of Night,109456,"Mystery, Romance, Thriller"
437,Cops and Robbersons,109480,"Comedy, Crime, Thriller"
438,The Cowboy Way,109493,"Action, Comedy, Crime"
440,Dave,106673,"Comedy, Romance"
441,Dazed and Confused,106677,Comedy
442,Demolition Man,106697,"Action, Crime, Sci-Fi"
443,The Endless Summer 2,109729,"Documentary, Adventure, Sport"
444,Even Cowgirls Get the Blues,106834,"Comedy, Drama, Romance"
445,Fatal Instinct,106873,"Comedy, Crime, Thriller"
446,Ba wang bie ji,106332,"Drama, Music, Romance"
447,The Favor,109783,"Comedy, Romance"
448,Huo Yuan Jia,446059,"Action, Biography, Drama"
449,Fear of a Black Hat,106880,"Comedy, Music"
450,With Honors,111732,"Comedy, Drama"
451,Flesh and Bone,106926,"Drama, Mystery, Romance"
452,Widows' Peak,111712,"Comedy, Crime, Mystery"
453,For Love or Money,106941,"Comedy, Drama, Romance"
454,The Firm,106918,"Drama, Mystery, Thriller"
455,Free Willy,106965,"Adventure, Drama, Family"
456,Fresh,109842,"Crime, Drama, Thriller"
457,The Fugitive,106977,"Action, Adventure, Crime"
458,Geronimo: An American Legend,107004,"Drama, History, Western"
459,A Perfect Getaway,971209,"Adventure, Mystery, Thriller"
460,Getting Even with Dad,109891,"Comedy, Crime, Family"
461,Go Fish,109913,"Drama, Romance"
462,A Good Man in Africa,109920,Comedy
463,Guilty as Sin,107057,"Crime, Drama, Thriller"
464,Hard Target,107076,"Action, Thriller"
465,Heaven & Earth,107096,"Action, Biography, Drama"
466,Hot Shots! Part Deux,107144,"Action, Comedy"
467,Live Nude Girls,113674,Comedy
468,The Englishman Who Went Up a Hill But Came Down a Mountain,112966,"Comedy, Drama"
469,The House of the Spirits,107151,"Drama, Romance"
470,House Party 3,110064,"Comedy, Music, Romance"
471,The Hudsucker Proxy,110074,"Comedy, Fantasy"
472,I'll Do Anything,110097,"Comedy, Drama"
473,In the Army Now,110123,"Comedy, War"
474,In the Line of Fire,107206,"Action, Drama, Thriller"
475,In the Name of the Father,107207,"Biography, Drama, History"
476,The Inkwell,110137,"Romance, Comedy, Drama"
477,What's Love Got to Do with It,108551,"Biography, Drama, Music"
478,Jimmy Hollywood,110197,"Crime, Comedy, Drama"
479,Judgment Night,107286,"Action, Crime, Drama"
480,Jurassic Park,107290,"Adventure, Sci-Fi, Thriller"
481,Kalifornia,107302,"Crime, Drama, Horror"
482,Killing Zoe,110265,"Crime, Drama, Thriller"
483,King of the Hill,107322,"Drama, History"
484,Lassie,110305,"Family, Adventure"
485,Last Action Hero,107362,"Action, Adventure, Comedy"
486,Life with Mikey,107413,"Comedy, Family"
487,Lightning Jack,110353,"Comedy, Western"
488,M. Butterfly,107468,"Drama, History, Romance"
489,Made in America,107478,Comedy
490,Malice,107497,"Crime, Mystery, Thriller"
491,The Man Without a Face,107501,Drama
492,Manhattan Murder Mystery,107507,"Comedy, Mystery"
493,Menace II Society,107554,"Crime, Drama, Thriller"
494,Executive Decision,116253,"Action, Adventure, Thriller"
495,Ai no korîda,74102,"Biography, Drama, Horror"
496,What Happened Was...,111689,"Comedy, Drama, Romance"
497,Much Ado About Nothing,107616,"Comedy, Drama, Romance"
498,Mr. Jones,107611,"Drama, Romance"
499,Mr. Wonderful,107613,"Comedy, Romance"
500,Mrs. Doubtfire,107614,"Comedy, Drama, Family"
501,Naked,107653,"Comedy, Drama"
502,The Next Karate Kid,110657,"Action, Drama, Family"
503,The New Age,110649,"Comedy, Drama"
504,No Escape,110678,"Action, Drama, Sci-Fi"
505,North,110687,"Adventure, Comedy, Drama"
506,Orlando,107756,"Biography, Drama, Fantasy"
507,A Perfect World,107808,"Crime, Drama, Thriller"
508,Philadelphia,107818,Drama
509,The Piano,107822,"Drama, Music, Romance"
510,Poetic Justice,107840,"Drama, Romance"
511,The Program,107889,"Action, Drama, Sport"
512,The Puppet Masters,111003,"Horror, Sci-Fi, Thriller"
513,Radioland Murders,110939,"Comedy, Crime, Drama"
514,The Ref,110955,"Comedy, Crime, Drama"
515,The Remains of the Day,107943,"Drama, Romance"
516,Renaissance Man,110971,"Comedy, Drama"
517,Rising Sun,107969,"Action, Crime, Drama"
518,The Road to Wellville,111001,"Comedy, Drama"
519,RoboCop 3,107978,"Action, Crime, Sci-Fi"
520,Robin Hood: Men in Tights,107977,"Adventure, Comedy, Musical"
521,Romeo Is Bleeding,107983,"Action, Crime, Drama"
522,Romper Stomper,105275,"Crime, Drama"
523,Ruby in Paradise,108000,"Drama, Romance"
524,Rudy,108002,"Biography, Drama, Sport"
525,The Saint of Fort Washington,108026,Drama
526,Les nuits fauves,105032,"Biography, Drama"
527,Schindler's List,108052,"Biography, Drama, History"
528,The Last Boy Scout,102266,"Action, Thriller"
529,Searching for Bobby Fischer,108065,"Biography, Drama"
530,Second Best,328390,Comedy
531,The Secret Garden,108071,"Drama, Family, Fantasy"
532,Serial Mom,111127,"Comedy, Crime, Thriller"
533,Kagemusha,80979,"Drama, History, War"
534,Shadowlands,108101,"Biography, Drama, Romance"
535,Short Cuts,108122,"Comedy, Drama"
536,A Simple Twist of Fate,111194,"Drama, Comedy"
537,Sairen,494815,"Horror, Thriller"
538,Six Degrees of Separation,108149,"Comedy, Drama, Mystery"
539,Sleepless in Seattle,108160,"Comedy, Drama, Romance"
540,Sliver,108162,"Drama, Thriller"
541,Blade Runner,83658,"Sci-Fi, Thriller"
542,Son in Law,108186,"Comedy, Drama, Romance"
543,So I Married an Axe Murderer,108174,"Comedy, Romance"
544,Striking Distance,108238,"Action, Crime, Mystery"
545,Harem suaré,179841,"Drama, History"
546,Super Mario Bros.,108255,"Adventure, Comedy, Family"
547,Surviving the Game,111323,"Action, Adventure, Crime"
548,Terminal Velocity,111400,"Action, Comedy, Mystery"
549,Thirty Two Short Films About Glenn Gould,108328,"Biography, Drama, Music"
550,Threesome,111418,"Comedy, Romance, Drama"
551,The Nightmare Before Christmas,107688,"Animation, Family, Fantasy"
552,The Three Musketeers,108333,"Action, Adventure, Comedy"
553,Tombstone,108358,"Action, Biography, Drama"
554,Law & Order: Trial by Jury,406429,"Crime, Drama, Mystery"
555,True Romance,108399,"Action, Crime, Drama"
