movie_id,title,genres,year,id,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,directorName,country,actorName
11,"American President, The","('Comedy', 'Drama', 'Romance')",1995,11,7,49,89,3.2,8320,71,Rob Reiner,USA,"('Annette Bening', 'David Paymer', 'Martin Sheen', 'Michael Douglas', 'Michael J. Fox')"
12,Dracula: Dead and Loving It,"('Comedy', 'Horror')",1995,12,3,35,8,2.8,10078,52,Mel Brooks,USA,"('Amy Yasbeck', 'Leslie Nielsen', 'Lysette Anthony', 'Peter MacNicol', 'Steven Weber')"
13,Balto,"('Animation', ""Children's"")",1995,13,5.8,12,50,3.2,9195,66,Simon Wells,USA,"('Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Kevin Bacon', 'Lola Bates-Campbell')"
14,Nixon,"('Drama',)",1995,14,6.7,56,75,3.5,3256,72,Oliver Stone,USA,"('Anthony Hopkins', 'Bob Hoskins', 'Ed Harris', 'Joan Allen', 'Powers Boothe')"
15,Cutthroat Island,"('Action', 'Adventure', 'Romance')",1995,15,4.4,31,45,2.6,3350,42,Renny Harlin,USA,"('Frank Langella', 'Geena Davis', 'Matthew Modine', 'Maury Chaykin', 'Patrick Malahide')"
16,Casino,"('Drama', 'Thriller')",1995,16,7.2,58,81,3.9,66463,91,Martin Scorsese,USA,"('Don Rickles', 'James Woods', 'Joe Pesci', 'Robert De Niro', 'Sharon Stone')"
17,Sense and Sensibility,"('Drama', 'Romance')",1995,17,7.9,49,97,3.8,32782,88,Ang Lee,USA,"('Alan Rickman', 'Emma Thompson', 'Hugh Grant', 'James Fleet', 'Kate Winslet')"
18,Four Rooms,"('Thriller',)",1995,18,3.5,42,14,3.5,14266,72,Alexandre Rockwell,USA,"('Antonio Banderas', 'Jennifer Beals', 'Quentin Tarantino', 'Tim Roth', 'Valeria Golino')"
19,Ace Ventura: When Nature Calls,"('Comedy',)",1995,19,4.1,25,36,3.2,87306,73,Steve Oedekerk,USA,"('Bob Gunton', 'Ian McNeice', 'Jim Carrey', 'Maynard Eziashi', 'Simon Callow')"
20,Money Train,"('Action',)",1995,20,4,24,16,2.7,5263,38,Joseph Ruben,USA,"('Chris Cooper', 'Jennifer Lopez', 'Robert Blake', 'Wesley Snipes', 'Woody Harrelson')"
21,Get Shorty,"('Action', 'Comedy', 'Drama')",1995,21,7.7,49,85,3.2,10155,63,Barry Sonnenfeld,USA,"('Danny DeVito', 'Dennis Farina', 'Gene Hackman', 'John Travolta', 'Rene Russo')"
22,Copycat,"('Crime', 'Drama', 'Thriller')",1995,22,6.6,32,75,3.1,5628,58,Jon Amiel,USA,"('Dermot Mulroney', 'Holly Hunter', 'Sigourney Weaver', 'Will Patton', 'William McNamara')"
23,Assassins,"('Thriller',)",1995,23,4.3,106,25,3.4,107023,58,James McTeigue,USA,"('Rain', 'Ben Miles', 'Naomie Harris', 'Rick Yune', 'Shô Kosugi')"
24,Powder,"('Drama', 'Sci-Fi')",1995,24,5.2,19,47,3.1,6650,67,Victor Salva,USA,"('Brandon Smith (I)', 'Jeff Goldblum', 'Lance Henriksen', 'Mary Steenburgen', 'Sean Patrick Flanery')"
25,Leaving Las Vegas,"('Drama', 'Romance')",1995,25,7.7,45,88,3.6,12742,82,Mike Figgis,France,"('Richard Lewis', 'Elisabeth Shue', 'Julian Sands', 'Nicolas Cage', 'Valeria Golino')"
26,Othello,"('Drama',)",1995,26,6.3,38,68,3.3,2018,66,Oliver Parker,USA,"('Irène Jacob', 'Kenneth Branagh', 'Laurence Fishburne', 'Michael Maloney', 'Nathaniel Parker')"
27,Now and Then,"('Drama',)",1995,27,4.7,16,18,3.5,17168,78,Lesli Linka Glatter,USA,"('Ashleigh Aston Moore', 'Christina Ricci', 'Demi Moore', 'Gaby Hoffmann', 'Thora Birch')"
28,Persuasion,"('Romance',)",1995,28,7.7,23,82,3.9,7968,82,Roger Michell,UK,"('Amanda Root', 'Ciarán Hinds', 'David Collings', 'Judy Cornwell', 'Susan Fleetwood')"
29,"City of Lost Children, The","('Adventure', 'Sci-Fi')",1995,29,7,33,81,4,22420,89,Jean-Pierre Jeunet,France,"('Daniel Emilfork', 'Dominique Pinon', 'Jean-Claude Dreyfus', 'Judith Vittet', 'Ron Perlman')"
30,Shanghai Triad (Yao a yao yao dao waipo qiao),"('Drama',)",1995,30,6.8,21,85,3.6,1061,70,Yimou Zhang,France,"('Li Gong', 'Baotian Li', 'Li Xuejian', 'Sun Chun', 'Wang Xiaoxiao')"
31,Dangerous Minds,"('Drama',)",1995,31,4.7,37,29,3.1,12136,66,John N. Smith,USA,"('Bruklin Harris', 'Courtney B. Vance', 'George Dzundza', 'Michelle Pfeiffer', 'Robin Bartlett')"
32,Twelve Monkeys,"('Drama', 'Sci-Fi')",1995,32,0,0,0,0,0,0,Siddharth Randeria,USA,"('Bhiravi Vaidhy', 'Dilip Satgare', 'Haresh Mehta', 'Harish Panchal', 'Kamlesh Shah')"
33,Wings of Courage,"('Adventure', 'Romance')",1995,33,0,4,50,0,0,0,Jean-Jacques Annaud,USA,"('Freddy Andreiuci', 'Balinder Johal', 'Ron Sauvé', 'Craig Sheffer', 'Elizabeth McGovern')"
34,Babe,"(""Children's"", 'Comedy', 'Drama')",1995,34,8.2,54,98,3,22954,54,Chris Noonan,Australia,"('Christine Cavanaugh', 'Danny Mann', 'James Cromwell', 'Magda Szubanski', 'Miriam Margolyes')"
35,Carrington,"('Drama', 'Romance')",1995,35,6.2,19,47,3.5,781,68,Christopher Hampton,UK,"('Emma Thompson', 'Jonathan Pryce', 'Rufus Sewell', 'Samuel West', 'Steven Waddington')"
36,Dead Man Walking,"('Drama',)",1995,36,8.2,53,94,3.6,15450,81,Tim Robbins,UK,"('R. Lee Ermey', 'Raymond J. Barry', 'Robert Prosky', 'Sean Penn', 'Susan Sarandon')"
37,Across the Sea of Time,"('Documentary',)",1995,37,0,4,50,2.9,237,27,Stephan Low,USA,"('Ali Hoffman', 'John McDonough', 'Peter Boyden', 'Peter Reznick', 'Victor Steinbach')"
38,It Takes Two,"('Comedy',)",1995,38,3.9,24,8,2.9,16311,63,Andy Tennant,USA,"('Ashley Olsen', 'Kirstie Alley', 'Mary-Kate Olsen', 'Philip Bosco', 'Steve Guttenberg')"
39,Clueless,"('Comedy', 'Romance')",1995,39,0,0,0,0,0,0,Andras Solyom,USA,"('Dorka Gryllus', 'Lajos Kovács')"
40,"Cry, the Beloved Country","('Drama',)",1995,40,7.2,13,76,3.5,520,66,Darrell Roodt,South Africa,"('Richard Harris', 'Charles S. Dutton', 'James Earl Jones', 'Leleti Khumalo', 'Vusi Kunene')"
41,Richard III,"('Drama', 'War')",1995,41,8.1,43,95,3.7,1552,82,Richard Loncraine,UK,"('Annette Bening', 'Ian McKellen', 'Jim Broadbent', 'Nigel Hawthorne', 'Robert Downey Jr.')"
42,Dead Presidents,"('Action', 'Crime', 'Drama')",1995,42,5.7,31,45,3.3,4475,75,Albert Hughes,USA,"('Chris Tucker', 'Freddy Rodriguez', 'Keith David', 'Larenz Tate', ""N'Bushe Wright"")"
43,Restoration,"('Drama',)",1995,43,6.3,31,67,3.3,1103,56,Michael Hoffman,USA,"('Hugh Grant', 'Ian McKellen', 'Meg Ryan', 'Polly Walker', 'Robert Downey Jr.')"
44,Mortal Kombat,"('Action', 'Adventure')",1995,44,4.4,26,34,2.8,18291,55,Paul W.S. Anderson,USA,"('Bridgette Wilson', 'Cary-Hiroyuki Tagawa', 'Christopher Lambert', 'Linden Ashby', 'Robin Shou')"
45,To Die For,"('Comedy', 'Drama')",1995,45,6.8,197,81,3.9,1145097,86,Len Wiseman,USA,"('Bruce Willis', 'Cliff Curtis', 'Justin Long', 'Maggie Q', 'Timothy Olyphant')"
46,How to Make an American Quilt,"('Drama', 'Romance')",1995,46,5.6,22,50,3.2,2626,58,Jocelyn Moorhouse,USA,"('Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Maya Angelou', 'Winona Ryder')"
47,Seven (Se7en),"('Crime', 'Thriller')",1995,47,9.2,49,100,4.5,29509,97,Akira Kurosawa,Japan,"('Minoru Chiaki', 'Seiji Miyaguchi', 'Takashi Shimura', 'Toshiro Mifune', 'Yoshio Inaba')"
48,Pocahontas,"('Animation', ""Children's"", 'Musical', 'Romance')",1995,48,6,49,55,3.2,37858,63,Mike Gabriel,USA,"('Irene Bedard', 'Judy Kuhn', 'Linda Hunt', 'Mel Gibson', 'Russell Means')"
49,When Night Is Falling,"('Drama', 'Romance')",1995,49,5.7,16,50,3.9,1132,83,Patricia Rozema,Canada,"('David Fox', 'Henry Czerny', 'Pascale Bussieres', 'Rachael Crawford', 'Tracy Wright')"
50,"Usual Suspects, The","('Crime', 'Thriller')",1995,50,7.5,47,87,4.2,109588,95,Bryan Singer,USA,"('Chazz Palminteri', 'Gabriel Byrne', 'Kevin Pollak', 'Pete Postlethwaite', 'Stephen Baldwin')"
52,Mighty Aphrodite,"('Comedy',)",1995,52,6.7,33,75,3.3,4866,69,Woody Allen,USA,"('F Murray Abraham', 'Helena Bonham Carter', 'Michael Rapaport', 'Mira Sorvino', 'Woody Allen')"
53,Lamerica,"('Drama',)",1994,53,8,10,90,3.9,239,82,Gianni Amelio,Italy,"('Carmelo Di Mazzarelli', 'Elida Janushi', 'Enrico Lo Verso', 'Michele Placido', 'Piro Milkani')"
54,"Big Green, The","(""Children's"", 'Comedy')",1995,54,2.8,5,0,2.7,2596,47,Holly Goldberg Sloan,USA,"('Gil Glasgow', 'John Bourg', ""Olivia d'Abo"", 'Steve Guttenberg', 'Yareli Arizmendi')"
55,Georgia,"('Drama',)",1995,55,3.8,116,17,3,64056,55,Garry Marshall,USA,"('Cary Elwes', 'Dermot Mulroney', 'Felicity Huffman', 'Jane Fonda', 'Lindsay Lohan')"
56,Kids of the Round Table,"('Adventure', ""Children's"", 'Fantasy')",1995,56,0,0,0,0,0,0,Robert Tinnell,USA,"('Billy Coyle', 'Christopher Olscamp', 'Jeoffrey Graves', 'Johnny Morina', 'Justin Borntraeger')"
57,Home for the Holidays,"('Drama',)",1995,57,6,44,63,3.4,3045,69,Jodie Foster,USA,"('Anne Bancroft', 'Charles Durning', 'Geraldine Chaplin', 'Holly Hunter', 'Robert Downey Jr.')"
58,"Postino, Il (The Postman)","('Drama', 'Romance')",1994,58,7.9,25,92,4.1,5794,92,Michael Radford,Italy,"('Linda Moretti', 'Maria Grazia Cucinotta', 'Massimo Troisi', 'Philippe Noiret', 'Renato Scarpa')"
59,"Confessional, The (Le Confessionnal)","('Drama', 'Mystery')",1995,59,0,1,100,0,0,0,Robert Lepage,Canada,"('Anne-Marie Cadieux', 'Suzanne Clément', 'Normand Daneau', 'Richard Fréchette', 'Marie Gignac')"
60,"Indian in the Cupboard, The","('Adventure', ""Children's"", 'Fantasy')",1995,60,6.2,19,68,2.7,5127,41,Frank Oz,USA,"('David Keith', 'Hal Scardino', 'Lindsay Crouse', 'Litefoot', 'Richard Jenkins')"
61,Eye for an Eye,"('Drama', 'Thriller')",1996,61,0,0,0,0,0,0,Sara Botsford,USA,"('Graham Greene', 'Geneviève Bujold', 'Nancy Beatty')"
62,Mr. Holland's Opus,"('Drama',)",1995,62,6.7,26,73,3.5,9569,79,Stephen Herek,USA,"('Glenne Headly', 'Jay Thomas', 'Richard Dreyfuss', 'Olympia Dukakis', 'William H. Macy')"
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"('Comedy',)",1996,63,4.5,24,29,0,0,0,Paris Barclay,USA,"('Chris Spencer', 'Marlon Wayans', 'Shawn Wayans', 'Suli McCullough', 'Tracey Cherelle Jones')"
64,Two if by Sea,"('Comedy', 'Romance')",1996,64,3.9,27,11,2.6,1608,29,Bill Bennett,USA,"('Denis Leary', 'Sandra Bullock', 'Stephen Dillane', 'Wayne Robson', 'Yaphet Kotto')"
65,Bio-Dome,"('Comedy',)",1996,65,1.9,21,4,2.6,8972,51,Jason Bloom,USA,"('Joey Lauren Adams', 'Pauly Shore', 'Stephen Baldwin', 'Teresa Hill', 'William Atherton')"
66,Lawnmower Man 2: Beyond Cyberspace,"('Sci-Fi', 'Thriller')",1996,66,2.8,9,11,2.1,952,18,Farhad Mann,USA,"(""Austin O'Brien"", 'Ely Pouget', 'Kevin Conway', 'Matt Frewer', 'Patrick Bergin')"
67,Two Bits,"('Drama',)",1995,67,5,10,40,3.3,685,54,James Foley,USA,"('Joanna Merlin', 'Al Pacino', 'Jerry Barone', 'Joe Grifasi', 'Mary Elizabeth Mastranton...')"
68,French Twist (Gazon maudit),"('Comedy', 'Romance')",1995,68,6.1,10,50,3.4,597,58,Josiane Balasko,France,"('Alain Chabat', 'Josiane Balasko', 'Katrine Boorman', 'Ticky Holgado', 'Victoria Abril')"
69,Friday,"('Comedy',)",1995,69,0,0,0,0,0,0,Marek Koterski,USA,"('Bozena Dykiel', 'Cezary Pazura', 'Marek Kondrat')"
70,From Dusk Till Dawn,"('Action', 'Comedy', 'Crime', 'Horror', 'Thriller')",1996,70,6,43,62,3.4,36073,75,Robert Rodriguez,USA,"('Cheech Marin', 'George Clooney', 'Harvey Keitel', 'Juliette Lewis', 'Quentin Tarantino')"
71,Fair Game,"('Action',)",1995,71,2.4,24,12,2.1,1761,16,Andrew Sipes,USA,"('Christopher McDonald', 'Cindy Crawford', 'Miguel Sandoval', 'Steven Berkoff', 'William Baldwin')"
72,Kicking and Screaming,"('Comedy', 'Drama')",1995,72,5.1,137,41,3,14260,51,Jesse Dylan,USA,"('Kate Walsh', 'Mike Ditka', 'Musetta Vander', 'Robert Duvall', 'Will Ferrell')"
73,"Misï¿½rables, Les","('Drama', 'Musical')",1995,73,6.9,41,75,3.6,7310,81,Bille August,UK,"('Christopher Adamson', 'Claire Danes', 'Geoffrey Rush', 'Liam Neeson', 'Uma Thurman')"
74,Bed of Roses,"('Drama', 'Romance')",1996,74,5.3,14,21,3.2,3163,66,Michael Goldenberg,USA,"('Ally Walker', 'Christian Slater', 'Josh Brolin', 'Mary Stuart Masterson', 'Pamela Segall')"
75,Big Bully,"('Comedy', 'Drama')",1996,75,2.8,7,0,2.4,1459,23,Steve Miner,USA,"('Carol Kane', 'Jeffrey Tambor', 'Julianne Phillips', 'Rick Moranis', 'Tom Arnold')"
76,Screamers,"('Sci-Fi', 'Thriller')",1995,76,4.7,30,30,3,2070,45,Christian Duguay,Canada,"('Andrew Lauer', 'Bruce Boa', 'Jason Cavalier', 'Liliana Komorowska', 'Roy Dupuis')"
77,Nico Icon,"('Documentary',)",1995,77,7.1,13,84,4,87,85,Susanne Ofteringer,Germany,"('Andy Warhol', 'Billy Name', 'Jackson Browne', 'John Cale', 'Jonas Mekas')"
78,"Crossing Guard, The","('Drama',)",1995,78,6.5,27,74,3.3,2170,56,Sean Penn,USA,"('David Morse', 'Anjelica Huston', 'Jack Nicholson', 'Piper Laurie', 'Robin Wright Penn')"
79,"Juror, The","('Drama', 'Thriller')",1996,79,4.4,19,15,2.8,2266,39,Brian Gibson,USA,"('Alec Baldwin', 'Anne Heche', 'Demi Moore', 'James Gandolfini', 'Joseph Gordon-Levitt')"
80,"White Balloon, The (Badkonake Sefid )","('Drama',)",1995,80,6.8,20,80,4,547,86,Jafar Panahi,Iran,"('Aida Mohammadkhani', 'Anna Bourkowska', 'Fereshtch Sadr Orfani', 'Mohammad Bahktiari', 'Mohsen Kalifi')"
81,Things to Do in Denver when You're Dead,"('Crime', 'Drama', 'Romance')",1995,81,4.9,27,33,3.5,3197,72,Gary Fleder,USA,"('William Forsythe', 'Andy Garcia', 'Bill Nunn', 'Christopher Lloyd', 'Treat Williams')"
82,Antonia's Line (Antonia),"('Drama',)",1995,82,6.5,25,64,4.2,1707,90,Marleen Gorris,Netherlands,"('Els Dottermans', 'Jan Decleir', 'Marina De Graaf', 'Mil Seghers', 'Willeke van Ammelrooy')"
83,Once Upon a Time... When We Were Colored,"('Drama',)",1995,83,7.3,14,71,3.7,414,76,Tim Reid,USA,"('Al Freeman Jr.', 'Bernie Casey', 'Damon Hines', 'Isaac Hayes', 'Polly Bergen')"
84,Last Summer in the Hamptons,"('Comedy', 'Drama')",1995,84,5.6,15,60,3.3,89,47,Henry Jaglom,USA,"('Jon Robin Baitz', 'Martha Plimpton', 'Melissa Leo', 'Victoria Foyt', 'Viveca Lindfors')"
85,Angels and Insects,"('Drama', 'Romance')",1995,85,6.5,20,70,3.3,635,62,Philip Haas,USA,"('Douglas Henshall', 'Jeremy Kemp', 'Kristin Scott Thomas', 'Mark Rylance', 'Patsy Kensit')"
86,White Squall,"('Adventure', 'Drama')",1996,86,5.8,30,63,3.2,3184,62,Director Ridley Scott,USA,"('Caroline Goodall', 'Jeff Bridges', 'Jeremy Sisto', 'John Savage', 'Scott Wolf')"
87,Dunston Checks In,"(""Children's"", 'Comedy')",1996,87,3.8,15,6,2.5,2935,39,Ken Kwapis,USA,"('Eric Lloyd', 'Faye Dunaway', 'Graham Sack', 'Jason Alexander', 'Rupert Everett')"
88,Black Sheep,"('Comedy',)",1996,88,6.4,87,70,3.2,19454,54,Jonathan King,New Zealand,"('Danielle Mason', 'Glenis Levestam', 'Nathan Meister', 'Peter Feeney', 'Tammy Davis')"
89,Nick of Time,"('Action', 'Thriller')",1995,89,4.6,28,28,3.1,10563,54,John Badham,USA,"('Charles S. Dutton', 'Christopher Walken', 'Johnny Depp', 'Peter Strauss', 'Roma Maffia')"
90,"Journey of August King, The","('Drama',)",1995,90,6.2,7,57,3.1,286,54,John Duigan,USA,"('Jason Patric', 'Larry Drake', 'Nesbitt Blaisdell', 'Sam Waterston', 'Thandie Newton')"
92,Mary Reilly,"('Drama', 'Thriller')",1996,92,4.4,41,26,2.8,3733,41,Stephen Frears,USA,"('George Cole', 'Glenn Close', 'John Malkovich', 'Julia Roberts', 'Kathy Staff')"
93,Vampire in Brooklyn,"('Comedy', 'Romance')",1995,93,3.6,28,10,2.4,6122,37,Wes Craven,USA,"('Allen Payne', 'Angela Bassett', 'Eddie Murphy', 'John Witherspoon', 'Kadeem Hardison')"
94,Beautiful Girls,"('Drama',)",1996,94,7,46,78,3.6,4674,79,Ted Demme,USA,"('Annabeth Gish', 'Matt Dillon', 'Michael Rapaport', 'Noah Emmerich', 'Timothy Hutton')"
95,Broken Arrow,"('Action', 'Thriller')",1996,95,5.8,29,55,2.9,12489,51,John Woo,USA,"('Bob Gunton', 'Christian Slater', 'Delroy Lindo', 'John Travolta', 'Samantha Mathis')"
96,In the Bleak Midwinter,"('Comedy',)",1995,96,7.3,19,89,4.1,309,88,Kenneth Branagh,UK,"('Gerard Horan', 'Mark Hadfield', 'Michael Maloney', 'Nicholas Farrell', 'Richard Briers')"
97,"Hate (Haine, La)","('Drama',)",1995,97,8,14,100,4.3,11987,95,Mathieu Kassovitz,France,"('Edouard Montoute', 'François Levantal', 'Hubert Kounde', 'Said Taghmaoui', 'Vincent Cassel')"
98,Shopping,"('Action', 'Thriller')",1994,98,5,29,41,2.8,691,37,Henry Jaglom,USA,"('Bruce Davison', 'Lee Grant', 'Mae Whitman', 'Rob Morrow', 'Victoria Foyt')"
99,Heidi Fleiss: Hollywood Madam,"('Documentary',)",1995,99,7.5,7,71,3,281,46,Nick Broomfield,UK,"('Cookie', 'Heidi Fleiss', 'Ivan Nagy', 'Madam Alex', 'Nick Broomfield')"
100,City Hall,"('Drama', 'Thriller')",1996,100,6.1,22,54,3,2730,42,Harold Becker,USA,"('Al Pacino', 'Bridget Fonda', 'Danny Aiello', 'John Cusack', 'Martin Landau')"
101,Bottle Rocket,"('Comedy',)",1996,101,6.6,42,78,3.7,16217,80,Wes Anderson,USA,"('James Caan', 'Luke Wilson', 'Lumi Cavazos', 'Owen Wilson', 'Robert Musgrave')"
102,Mr. Wrong,"('Comedy',)",1996,102,3.1,28,3,2.4,1544,29,Nick Castle,USA,"('Bill Pullman', 'Dean Stockwell', 'Ellen DeGeneres', 'Joan Cusack', 'Joan Plowright')"
103,Unforgettable,"('Thriller',)",1996,103,4.4,26,23,3,358,36,John Dahl,USA,"('Christopher McDonald', 'Kim Cattrall', 'Linda Fiorentino', 'Peter Coyote', 'Ray Liotta')"
104,Happy Gilmore,"('Comedy',)",1996,104,5.5,50,58,3.7,114875,83,Dennis Dugan,USA,"('Adam Sandler', 'Carl Weathers', 'Christopher McDonald', 'Frances Bay', 'Julie Bowen')"
105,"Bridges of Madison County, The","('Drama', 'Romance')",1995,105,7.2,40,90,3.6,11573,83,Clint Eastwood,USA,"('Annie Corley', 'Clint Eastwood', 'Jim Haynie', 'Meryl Streep', 'Victor Slezak')"
106,Nobody Loves Me (Keiner liebt mich),"('Comedy', 'Drama')",1994,106,6,6,66,4.2,161,89,Doris Dörrie,Germany,"('Anja Hoffmann', 'Elisabeth Trissenaar', 'Erwin Grosche', 'Joachim Król', 'Lorose Keller')"
107,Muppet Treasure Island,"('Adventure', ""Children's"", 'Comedy', 'Musical')",1996,107,6.1,22,68,3.2,8588,68,Brian Henson,USA,"('Billy Connolly', 'Frank Oz', 'Jennifer Saunders', 'Kevin Bishop', 'Tim Curry')"
110,Braveheart,"('Action', 'Drama', 'War')",1995,110,7,48,77,3.8,204275,83,Mel Gibson,USA,"('Brendan Gleeson', 'Catherine McCormack', 'Mel Gibson', 'Patrick McGoohan', 'Sophie Marceau')"
111,Taxi Driver,"('Drama', 'Thriller')",1976,111,8.7,50,98,4.1,58145,93,Martin Scorsese,USA,"('Peter Boyle', 'Albert Brooks', 'Cybill Shepherd', 'Harvey Keitel', 'Robert De Niro')"
112,Rumble in the Bronx,"('Action', 'Adventure', 'Crime')",1995,112,6.4,52,78,3.1,7517,62,Stanley Tong,Hong Kong,"('Anita Mui', 'Bill Tung', 'Francoise Yip', 'Jackie Chan', 'Marc Akerstream')"
113,Before and After,"('Drama', 'Mystery')",1996,113,4.8,19,31,3,1276,39,Barbet Schroeder,USA,"('Alfred Molina', 'Edward Furlong', 'Julia Weldon', 'Liam Neeson', 'Meryl Streep')"
114,Margaret's Museum,"('Drama',)",1995,114,6.9,6,66,3.7,500,76,Mort Ransen,Canada,"('Clive Russell', 'Craig Olejnik', 'Helena Bonham Carter', 'Kate Nelligan', 'Kenneth Welsh')"
115,Happiness Is in the Field,"('Comedy',)",1995,115,0,0,0,0,0,0,Étienne Chatiliez,France,"('Eddy Mitchell', 'Michel Serrault', 'Sabine Azéma')"
116,Anne Frank Remembered,"('Documentary',)",1995,116,7.8,27,96,3.7,1076,79,John Blair,UK,"('Anne Frank', 'Ashley Johnson', 'Glenn Close', 'Kenneth Branagh', 'Miep Gies')"
117,"Young Poisoner's Handbook, The","('Crime',)",1995,117,7.1,13,84,3.7,541,79,Benjamin Ross,UK,"('Antony Sher', 'Charlotte Coleman', 'Dorothea Alexander', ""Hugh O'Conor"", 'Jack Deam')"
118,If Lucy Fell,"('Comedy', 'Romance')",1996,118,4,26,19,3.1,1202,49,Eric Schaeffer,USA,"('Ben Stiller', 'Elle Macpherson', 'Eric Schaeffer', 'James Rebhorn', 'Sarah Jessica Parker')"
119,"Steal Big, Steal Little","('Comedy',)",1995,119,4.5,13,15,2.9,555,36,Andrew Davis,USA,"('Alan Arkin', 'Ally Walker', 'Andy Garcia', 'Joe Pantoliano', 'Rachel Ticotin')"
120,Race the Sun,"('Drama',)",1996,120,4.8,9,22,2.9,822,40,Charles T. Kanganis,USA,"('Casey Affleck', 'Eliza Dushku', 'Halle Berry', 'James Belushi', 'Kevin Tighe')"
121,"Boys of St. Vincent, The","('Drama',)",1993,121,8.2,6,100,3.5,401,77,John N. Smith,Canada,"('Brian Dodd', 'Henry Czerny', 'Johnny Morina', 'Lise Roy', 'Sebastian Spence')"
122,Boomerang,"('Comedy', 'Romance')",1992,122,4.8,27,37,2.8,4751,55,Reginald Hudlin,USA,"('David Alan Grier', 'Eddie Murphy', 'Grace Jones', 'Halle Berry', 'Robin Givens')"
123,Chungking Express,"('Drama', 'Mystery', 'Romance')",1994,123,7.7,27,96,4.2,11068,93,Kar Wai Wong,Hong Kong,"('Brigitte Lin', 'Faye Wong', 'Takeshi Kaneshiro', 'Tony Leung Chiu-Wai', 'Valerie Chow')"
124,"Star Maker, The (Uomo delle stelle, L')","('Drama',)",1995,124,6.5,12,75,3.7,543,73,Giuseppe Tornatore,Italy,"('Antonella Attili', 'Clelia Rondinella', 'Franco Scaldati', 'Jane Alexander', 'Leo Gullotta')"
125,Flirting With Disaster,"('Comedy',)",1996,125,7.4,42,85,3.3,2127,65,David O. Russell,USA,"('George Segal', 'Ben Stiller', 'Mary Tyler Moore', 'Patricia Arquette', 'Téa Leoni')"
126,"NeverEnding Story III, The","('Adventure', ""Children's"", 'Fantasy')",1994,126,0,3,33,0,0,0,Peter MacDonald,Germany,"('Carole Finn', 'Freddie Jones', 'Jack Black', 'Jason James Richter', 'Julie Cox')"
128,Jupiter's Wife,"('Documentary',)",1994,128,0,4,75,0,0,0,Michel Negroponte,USA,"('Maggie Cogan', 'Katina Pendleton')"
129,Pie in the Sky,"('Comedy', 'Romance')",1995,129,0,2,50,0,0,0,Bryan Gordon,USA,"('Anne Heche', 'Christine Ebersole', 'John Goodman', 'Josh Charles', 'Peter Riegert')"
