movie_id,title,year,rtAllCriticsRating,rtAudienceRating,rtAllCriticsNumReviews,rtAudienceNumRatings,rtAllCriticsScore,rtAudienceScore,directorName,country
79,"Juror, The",1996,4.4,2.8,19,2266,15,39,Brian Gibson,USA
80,"White Balloon, The (Badkonake Sefid )",1995,6.8,4.0,20,547,80,86,Jafar Panahi,Iran
81,Things to Do in Denver when You're Dead,1995,4.9,3.5,27,3197,33,72,Gary Fleder,USA
82,Antonia's Line (Antonia),1995,6.5,4.2,25,1707,64,90,Marleen Gorris,Netherlands
83,Once Upon a Time... When We Were Colored,1995,7.3,3.7,14,414,71,76,Tim Reid,USA
84,Last Summer in the Hamptons,1995,5.6,3.3,15,89,60,47,Henry Jaglom,USA
85,Angels and Insects,1995,6.5,3.3,20,635,70,62,Philip Haas,USA
86,White Squall,1996,5.8,3.2,30,3184,63,62,Director Ridley Scott,USA
87,Dunston Checks In,1996,3.8,2.5,15,2935,6,39,Ken Kwapis,USA
88,Black Sheep,1996,6.4,3.2,87,19454,70,54,Jonathan King,New Zealand
89,Nick of Time,1995,4.6,3.1,28,10563,28,54,John Badham,USA
90,"Journey of August King, The",1995,6.2,3.1,7,286,57,54,John Duigan,USA
92,Mary Reilly,1996,4.4,2.8,41,3733,26,41,Stephen Frears,USA
93,Vampire in Brooklyn,1995,3.6,2.4,28,6122,10,37,Wes Craven,USA
94,Beautiful Girls,1996,7.0,3.6,46,4674,78,79,Ted Demme,USA
95,Broken Arrow,1996,5.8,2.9,29,12489,55,51,John Woo,USA
96,In the Bleak Midwinter,1995,7.3,4.1,19,309,89,88,Kenneth Branagh,UK
97,"Hate (Haine, La)",1995,8.0,4.3,14,11987,100,95,Mathieu Kassovitz,France
98,Shopping,1994,5.0,2.8,29,691,41,37,Henry Jaglom,USA
99,Heidi Fleiss: Hollywood Madam,1995,7.5,3.0,7,281,71,46,Nick Broomfield,UK
100,City Hall,1996,6.1,3.0,22,2730,54,42,Harold Becker,USA
101,Bottle Rocket,1996,6.6,3.7,42,16217,78,80,Wes Anderson,USA
102,Mr. Wrong,1996,3.1,2.4,28,1544,3,29,Nick Castle,USA
103,Unforgettable,1996,4.4,3.0,26,358,23,36,John Dahl,USA
104,Happy Gilmore,1996,5.5,3.7,50,114875,58,83,Dennis Dugan,USA
105,"Bridges of Madison County, The",1995,7.2,3.6,40,11573,90,83,Clint Eastwood,USA
106,Nobody Loves Me (Keiner liebt mich),1994,6.0,4.2,6,161,66,89,Doris Dörrie,Germany
107,Muppet Treasure Island,1996,6.1,3.2,22,8588,68,68,Brian Henson,USA
110,Braveheart,1995,7.0,3.8,48,204275,77,83,Mel Gibson,USA
111,Taxi Driver,1976,8.7,4.1,50,58145,98,93,Martin Scorsese,USA
112,Rumble in the Bronx,1995,6.4,3.1,52,7517,78,62,Stanley Tong,Hong Kong
113,Before and After,1996,4.8,3.0,19,1276,31,39,Barbet Schroeder,USA
114,Margaret's Museum,1995,6.9,3.7,6,500,66,76,Mort Ransen,Canada
115,Happiness Is in the Field,1995,0.0,0.0,0,0,0,0,Étienne Chatiliez,France
116,Anne Frank Remembered,1995,7.8,3.7,27,1076,96,79,John Blair,UK
117,"Young Poisoner's Handbook, The",1995,7.1,3.7,13,541,84,79,Benjamin Ross,UK
118,If Lucy Fell,1996,4.0,3.1,26,1202,19,49,Eric Schaeffer,USA
119,"Steal Big, Steal Little",1995,4.5,2.9,13,555,15,36,Andrew Davis,USA
120,Race the Sun,1996,4.8,2.9,9,822,22,40,Charles T. Kanganis,USA
121,"Boys of St. Vincent, The",1993,8.2,3.5,6,401,100,77,John N. Smith,Canada
122,Boomerang,1992,4.8,2.8,27,4751,37,55,Reginald Hudlin,USA
123,Chungking Express,1994,7.7,4.2,27,11068,96,93,Kar Wai Wong,Hong Kong
124,"Star Maker, The (Uomo delle stelle, L')",1995,6.5,3.7,12,543,75,73,Giuseppe Tornatore,Italy
125,Flirting With Disaster,1996,7.4,3.3,42,2127,85,65,David O. Russell,USA
126,"NeverEnding Story III, The",1994,0.0,0.0,3,0,33,0,Peter MacDonald,Germany
128,Jupiter's Wife,1994,0.0,0.0,4,0,75,0,Michel Negroponte,USA
129,Pie in the Sky,1995,0.0,0.0,2,0,50,0,Bryan Gordon,USA
130,Angela,1995,5.7,3.6,84,4588,52,79,Alan Parker,USA
131,Frankie Starlight,1995,5.8,3.8,6,133,66,61,Michael Lindsay-Hogg,France
132,Jade,1995,5.2,3.1,122,4108,45,52,Woody Allen,USA
134,Sonic Outlaws,1995,0.0,0.0,3,0,66,0,Craig Baldwin,USA
135,Down Periscope,1996,3.8,2.8,31,3851,12,60,David S. Ward,USA
136,From the Journals of Jean Seberg,1995,7.6,4.0,9,30,100,75,Mark Rappaport,USA
137,Man of the Year,1995,4.4,3.0,141,29127,21,51,Barry Levinson,USA
139,Target,1995,5.2,0.0,29,0,48,0,John Woo,USA
140,Up Close and Personal,1996,5.1,3.2,31,2932,32,63,Jon Avnet,USA
141,"Birdcage, The",1996,6.7,3.3,29,13502,75,75,Mike Nichols,USA
144,"Brothers McMullen, The",1995,7.1,3.2,34,1225,91,55,Edward Burns,USA
145,Bad Boys,1995,4.8,3.5,41,67658,39,79,Michael Bay,USA
146,"Amazing Panda Adventure, The",1995,4.3,3.0,9,1335,22,46,Christopher Cain,USA
147,"Basketball Diaries, The",1995,4.9,3.5,35,12119,42,77,Scott Kalvert,USA
148,"Awfully Big Adventure, An",1995,5.4,3.2,11,1433,36,55,Mike Newell,UK
149,Amateur,1994,3.9,3.0,24,8865,16,46,Michael Traeger,USA
150,Apollo 13,1995,8.0,3.6,51,30565,96,78,Ron Howard,USA
151,Rob Roy,1995,6.3,3.3,42,5253,71,73,Michael Caton-Jones,USA
152,"Addiction, The",1995,3.1,2.5,149,28208,6,33,Michael Caton-Jones,Germany
153,Batman Forever,1995,5.2,2.9,54,47498,42,42,Joel Schumacher,USA
154,Belle de jour,1967,8.6,4.0,36,1378,94,84,Luis Buñuel,France
155,Beyond Rangoon,1995,5.1,3.5,30,3962,36,64,John Boorman,UK
156,Blue in the Face,1995,5.5,3.5,20,1323,45,73,Paul Auster,USA
157,Canadian Bacon,1994,3.3,2.9,14,3460,14,49,Michael Moore,USA
158,Casper,1995,4.7,3.0,34,20672,41,54,Brad Silberling,USA
159,Clockers,1995,6.5,3.5,46,2502,67,74,Spike Lee,USA
160,Congo,1995,3.6,2.6,42,7008,21,34,Frank Marshall,USA
161,Crimson Tide,1995,7.4,3.5,44,11550,86,77,Tony Scott,USA
162,Crumb,1994,8.3,4.0,39,2689,94,88,Terry Zwigoff,USA
163,Desperado,1995,6.3,3.5,38,23821,60,79,Robert Rodriguez,USA
164,Devil in a Blue Dress,1995,7.3,3.3,50,2742,88,64,Carl Franklin,USA
165,Die Hard: With a Vengeance,1995,5.7,3.6,42,61394,47,83,John McTiernan,USA
166,"Doom Generation, The",1995,4.9,3.3,29,2680,48,64,Gregg Araki,USA
167,Feast of July,1995,6.2,2.9,9,226,66,40,Christopher Menaul,USA
168,First Knight,1995,5.2,3.0,42,13290,45,59,Jerry Zucker,USA
169,Free Willy 2: The Adventure Home,1995,4.6,2.8,12,8336,25,53,Dwight H. Little,France
170,Hackers,1995,4.7,3.2,19,16863,36,66,Iain Softley,USA
171,Jeffrey,1995,6.1,3.4,23,836,60,68,Christopher Ashley,USA
172,Johnny Mnemonic,1995,3.3,2.5,28,7062,14,33,Robert Longo,Canada
173,Judge Dredd,1995,3.6,2.5,47,10571,14,35,Danny Cannon,USA
174,Jury Duty,1995,2.1,2.4,11,1843,0,33,John Fortenberry,USA
175,Kids,1995,5.0,3.5,52,11282,50,78,Larry Clark,USA
176,Living in Oblivion,1995,7.4,3.8,24,1878,87,85,Tom DiCillo,USA
177,Lord of Illusions,1995,5.7,3.0,19,2344,68,51,Clive Barker,USA
178,Love & Human Remains,1993,6.5,0.0,11,0,63,0,Denys Arcand,Canada
179,Mad Love,1995,0.0,0.0,0,0,0,0,Jill Goldman,USA
180,Mallrats,1995,5.4,3.6,40,40221,52,83,Kevin Smith,USA
181,Mighty Morphin Power Rangers: The Movie,1995,4.6,2.7,19,5904,42,52,Bryan Spicer,USA
182,Moonlight and Valentino,1995,4.6,3.1,13,978,15,51,David Anspaugh,UK
183,Mute Witness,1994,6.9,3.2,19,644,78,61,Anthony Waller,Germany
184,Nadja,1994,0.0,0.0,0,0,0,0,Rodney Gibbons,USA
185,"Net, The",1995,5.1,2.8,33,10933,33,50,Irwin Winkler,USA
186,Nine Months,1995,4.3,2.7,24,8930,25,40,Chris Columbus,USA
187,Party Girl,1995,6.3,3.5,31,1243,77,73,Daisy von Scherler Mayer,USA
188,"Prophecy, The",1995,5.2,3.3,19,5062,42,71,Gregory Widen,USA
189,Reckless,1995,0.0,0.0,3,0,100,0,Max Ophüls,USA
190,Safe,1995,7.6,0.0,13,0,92,0,Sidney Lumet,USA
191,"Scarlet Letter, The",1995,3.0,2.9,33,3493,15,48,Roland Joffé,USA
193,Showgirls,1995,2.9,2.3,41,7443,12,35,Paul Verhoeven,France
194,Smoke,1995,7.8,3.9,27,3101,92,88,Wayne Wang,Germany
195,Something to Talk About,1995,5.3,3.0,27,6137,37,55,Lasse Hallström,USA
196,Species,1995,4.9,2.7,31,6716,38,37,Roger Donaldson,USA
197,"Stars Fell on Henrietta, The",1995,4.9,3.0,7,66,28,18,James Keach,USA
198,Strange Days,1995,6.0,3.3,38,7016,60,70,Kathryn Bigelow,USA
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,8.6,4.1,45,3199,97,86,Jacques Demy,France
200,"Tie That Binds, The",1995,2.8,3.0,9,286,11,34,Wesley Strick,USA
201,Three Wishes,1995,4.4,3.0,15,1249,13,52,Martha Coolidge,USA
202,Total Eclipse,1995,4.9,3.4,16,2222,25,63,Agnieszka Holland,UK
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,5.0,3.1,23,6833,34,69,Beeban Kidron,USA
204,Under Siege 2: Dark Territory,1995,4.5,2.6,29,5213,34,47,Geoff Murphy,USA
205,Unstrung Heroes,1995,6.3,3.2,21,530,76,54,Diane Keaton,USA
206,Unzipped,1995,6.7,3.3,13,64,76,67,Douglas Keeve,USA
207,"Walk in the Clouds, A",1995,5.5,3.3,22,12692,40,74,Alfonso Arau,USA
208,Waterworld,1995,5.1,2.6,48,18023,41,46,Kevin Reynolds,USA
209,White Man's Burden,1995,4.5,2.8,32,1275,25,38,Desmond Nakano,France
211,"Browning Version, The",1994,7.8,4.3,17,270,88,94,Anthony Asquith,UK
212,Bushwhacked,1995,2.1,2.6,9,1388,0,38,Greg Beeman,USA
213,Burnt By the Sun (Utomlyonnye solntsem),1994,7.0,4.3,13,1533,76,93,Nikita Mikhalkov,Russia
214,Before the Rain (Pred dozhdot),1994,7.5,4.4,12,1683,83,93,Milcho Manchevski,Republic of Macedonia
215,Before Sunrise,1995,8.2,4.1,34,20616,100,92,Richard Linklater,USA
216,Billy Madison,1995,4.8,3.5,35,91595,42,79,Tamra Davis,USA
217,"Babysitter, The",1995,4.4,2.9,26,1237,30,35,David Ross,USA
218,Boys on the Side,1995,6.0,3.1,32,4572,71,65,Herbert Ross,USA
219,"Cure, The",1995,5.5,3.7,10,2207,40,79,Peter Horton,USA
220,Castle Freak,1995,5.4,0.0,7,0,57,0,Stuart Gordon,USA
222,Circle of Friends,1995,6.5,3.3,35,3292,77,65,Pat O'Connor,Ireland
223,Clerks,1994,7.4,3.8,48,57642,87,89,Kevin Smith,USA
224,Don Juan DeMarco,1995,5.8,3.3,22,14169,72,70,Jeremy Leven,USA
225,Disclosure,1994,5.7,2.8,40,3648,60,41,Barry Levinson,USA
226,Dream Man,1995,7.2,3.2,35,1497,85,58,Francis Ford Coppola,USA
227,Drop Zone,1994,4.1,2.7,19,2485,31,36,John Badham,USA
228,Destiny Turns on the Radio,1995,2.7,2.6,15,446,13,27,Jack Baran,USA
229,Death and the Maiden,1994,7.0,3.6,48,1972,83,76,Roman Polanski,UK
230,Dolores Claiborne,1994,6.8,3.4,33,4632,84,75,Taylor Hackford,USA
231,Dumb & Dumber,1994,5.8,3.3,45,95871,62,79,Peter Farrelly,USA
232,Eat Drink Man Woman,1994,7.4,4.0,31,3802,93,91,Ang Lee,Taiwan
233,Exotica,1994,8.3,3.7,27,1837,96,81,Atom Egoyan,Canada
234,Exit to Eden,1994,2.4,2.3,15,1694,6,27,Garry Marshall,USA
235,Ed Wood,1994,7.9,3.7,57,28216,91,83,Tim Burton,USA
236,French Kiss,1995,5.7,3.2,21,11010,47,70,Lawrence Kasdan,UK
237,Forget Paris,1995,5.4,3.0,33,2108,51,51,Billy Crystal,USA
238,Far From Home: The Adventures of Yellow Dog,1995,5.2,0.0,6,0,50,0,Phillip Borsos,USA
239,"Goofy Movie, A",1995,5.7,3.1,14,17024,57,57,Kevin Lima,USA
240,Hideaway,1995,3.5,2.8,12,1077,16,41,Brett Leonard,USA
241,Fluke,1995,4.0,3.4,9,1598,33,70,Carlo Carlei,USA
242,Farinelli: il castrato,1994,5.7,3.8,21,1092,66,81,Gérard Corbiau,Belgium
243,Gordy,1995,6.3,3.1,32,6492,81,64,Mike Hodges,USA
244,Gumby: The Movie,1995,0.0,0.0,4,0,0,0,Art Clokey,USA
245,"Glass Shield, The",1994,5.6,3.0,21,263,61,41,Charles Burnett,France
246,Hoop Dreams,1994,8.5,4.1,44,3243,97,92,Steve James,USA
247,Heavenly Creatures,1994,8.3,3.7,41,8208,95,82,Peter Jackson,New Zealand
248,Houseguest,1994,3.4,2.8,20,1745,15,51,Randall Miller,USA
249,Immortal Beloved,1994,6.0,3.8,30,4786,56,87,Bernard Rose,UK
250,Heavyweights,1994,4.1,0.0,5,0,20,0,Steven Brill,USA
251,"Hunted, The",1995,4.7,3.0,143,5362,30,51,William Friedkin,USA
252,I.Q.,1994,5.1,2.8,21,3758,42,46,Fred Schepisi,USA
253,Interview with the Vampire,1994,5.8,3.7,45,77706,57,85,Neil Jordan,USA
254,Jefferson in Paris,1995,4.9,2.8,14,404,35,27,James Ivory,France
255,"Jerky Boys, The",1994,1.6,0.0,10,0,10,0,James Melkonian,USA
256,Junior,1994,4.7,2.4,30,9754,33,28,Ivan Reitman,USA
257,Just Cause,1995,4.0,3.1,26,2888,23,51,Arne Glimcher,USA
258,"Kid in King Arthur's Court, A",1995,3.2,0.0,6,0,0,0,Michael Gottlieb,USA
259,Kiss of Death,1995,6.4,2.9,36,2125,66,39,Barbet Schroeder,USA
260,Star Wars: Episode IV - A New Hope,1977,8.2,4.1,64,147448,93,93,George Lucas,USA
261,Little Women,1994,0.0,0.0,0,0,0,0,Gillian Armstrong,USA
262,"Little Princess, A",1995,8.4,3.4,20,13643,95,81,Alfonso Cuarón,USA
263,Ladybird Ladybird,1994,7.2,4.0,6,368,66,87,Ken Loach,UK
264,"Enfer, L'",1994,7.9,3.5,8,421,100,67,Claude Chabrol,France
265,Like Water for Chocolate (Como agua para chocolate),1992,7.6,3.9,28,5713,89,86,Alfonso Arau,Mexico
266,Legends of the Fall,1994,0.0,0.0,0,0,0,0,Edward Zwick,USA
267,Major Payne,1994,4.6,2.9,10,8555,30,69,Nick Castle,USA
268,Little Odessa,1994,5.8,3.5,17,985,64,69,James Gray,USA
269,My Crazy Life (Mi vida loca),1993,6.6,3.9,15,2251,80,81,Allison Anders,USA
270,Love Affair,1994,4.8,3.5,26,1260,30,71,Glenn Gordon Caron,USA
271,Losing Isaiah,1995,5.1,3.6,28,2364,42,76,Stephen Gyllenhaal,USA
272,"Madness of King George, The",1994,7.8,3.6,42,1886,92,76,Nicholas Hytner,UK
273,Mary Shelley's Frankenstein,1994,8.5,3.6,38,7211,100,81,James Whale,USA
274,Man of the House,1995,3.3,3.1,60,10877,8,59,Stephen Herek,USA
275,Mixed Nuts,1994,2.8,2.9,28,2410,7,46,Nora Ephron,USA
276,Milk Money,1994,2.6,2.7,25,2126,4,40,Richard Benjamin,USA
277,Miracle on 34th Street,1994,8.0,3.5,31,5409,93,81,George Seaton,USA
278,Miami Rhapsody,1995,6.1,2.6,18,766,44,28,David Frankel,USA
279,My Family,1995,7.2,3.9,11,1137,81,85,Gregory Nava,USA
280,Murder in the First,1995,5.5,3.5,34,3888,50,78,Marc Rocco,France
281,Nobody's Fool,1994,0.0,3.0,4,289,0,43,Evelyn Purcell,USA
282,Nell,1994,5.0,3.1,31,5373,51,63,Michael Apted,USA
283,New Jersey Drive,1995,6.5,3.8,7,814,57,81,Nick Gomez,USA
284,New York Cop,1996,0.0,0.0,0,0,0,0,Toru Murakawa,Japan
285,Beyond Bedlam,1993,0.0,0.0,1,0,0,0,Vadim Jean,UK
286,Nemesis 2: Nebula,1995,0.0,0.0,0,0,0,0,Albert Pyun,USA
287,Nina Takes a Lover,1994,5.2,3.4,6,125,50,52,Alan Jacobs,USA
288,Natural Born Killers,1994,6.0,3.5,29,39062,51,80,Oliver Stone,USA
289,Only You,1994,5.5,3.3,22,4388,50,69,Norman Jewison,USA
290,Once Were Warriors,1994,7.7,0.0,31,0,93,0,Lee Tamahori,New Zealand
291,Poison Ivy II,1995,3.8,0.0,6,0,16,0,Anne Goursaud,USA
292,Outbreak,1995,5.6,3.1,41,10732,58,55,Wolfgang Petersen,USA
293,"Professional, The (a.k.a. Leon: The Professional)",1994,6.8,4.1,39,59011,76,94,Luc Besson,France
294,"Perez Family, The",1995,6.3,3.2,15,500,66,50,Mira Nair,USA
295,"Pyromaniac's Love Story, A",1995,3.4,3.1,9,773,0,44,Joshua Brand,USA
296,Pulp Fiction,1994,8.9,4.2,50,249269,94,95,Quentin Tarantino,USA
297,Panther,1995,3.5,3.1,128,77879,12,48,Harald Zwart,USA
298,Pushing Hands,1992,0.0,0.0,2,0,100,0,Ang Lee,Taiwan
299,Priest,1994,7.2,3.8,19,1042,68,81,Antonia Bird,UK
300,Quiz Show,1994,8.1,3.5,50,5428,96,79,Robert Redford,USA
301,Picture Bride,1995,6.8,3.7,10,324,80,77,Kayo Hatta,Japan
302,Queen Margot (La Reine Margot),1994,5.9,4.0,22,2511,77,86,Patrice Chéreau,France
303,"Quick and the Dead, The",1995,5.9,3.1,39,12178,56,56,Sam Raimi,USA
304,Roommates,1995,5.1,3.2,13,387,30,51,Peter Yates,USA
305,Ready to Wear (Pret-A-Porter),1994,4.8,2.5,21,1885,28,26,Robert Altman,USA
306,Three Colors: Red,1994,8.5,4.2,40,9557,100,94,Krzysztof Kieslowski,France
307,Three Colors: Blue,1993,8.4,4.2,32,11731,100,93,Krzysztof Kieslowski,France
308,Three Colors: White,1994,7.5,3.9,31,5105,90,86,Krzysztof Kieslowski,France
309,"Red Firecracker, Green Firecracker",1994,0.0,4.6,4,71,75,100,Ping He,China
310,Rent-a-Kid,1995,0.0,0.0,0,0,0,0,Fred Gerber,USA
312,Stuart Saves His Family,1995,4.6,2.6,25,531,28,44,Harold Ramis,Germany
313,"Swan Princess, The",1994,5.3,3.1,9,5951,44,66,Richard Rich,USA
314,"Secret of Roan Inish, The",1994,7.8,3.9,40,1439,97,86,John Sayles,USA
315,"Specialist, The",1994,3.1,2.5,24,5147,4,34,Luis Llosa,Peru
316,Stargate,1994,5.2,3.3,37,23611,45,75,Roland Emmerich,France
317,"Santa Clause, The",1994,4.1,3.1,17,2513,17,66,Jeannot Szwarc,UK
318,"Shawshank Redemption, The",1994,8.0,4.4,57,168839,87,98,Frank Darabont,USA
319,Shallow Grave,1994,6.4,3.6,42,9041,71,81,Danny Boyle,UK
320,Suture,1993,6.2,3.6,11,236,63,74,Scott McGehee,USA
321,Strawberry and Chocolate (Fresa y chocolate),1993,6.6,3.9,19,848,78,83,Tomás Gutiérrez Alea,Cuba
322,Swimming with Sharks,1995,6.3,3.6,33,2888,75,78,George Huang,USA
324,"Sum of Us, The",1994,6.5,3.6,13,1056,69,74,Geoff Burton,Australia
325,National Lampoon's Senior Trip,1995,2.6,3.0,7,1370,0,53,Kelly Makin,Canada
326,To Live (Huozhe),1994,8.1,4.3,14,1836,85,95,Yimou Zhang,China
327,Tank Girl,1995,4.9,2.8,33,7013,42,61,Rachel Talalay,USA
328,Tales From the Crypt Presents: Demon Knight,1995,4.0,3.2,23,4989,30,63,Ernest R. Dickerson,USA
329,Star Trek: Generations,1994,5.5,3.3,44,15342,45,62,David Carson,USA
330,Tales from the Hood,1995,4.3,3.1,15,2119,33,58,Rusty Cundieff,USA
331,Tom & Viv,1994,4.8,3.4,11,351,36,59,Brian Gilbert,UK
332,Village of the Damned,1995,4.0,2.7,30,4194,30,36,John Carpenter,USA
333,Tommy Boy,1995,5.2,3.6,38,34476,44,89,Peter Segal,USA
334,Vanya on 42nd Street,1994,7.6,3.7,32,466,87,73,Louis Malle,USA
335,"Underneath, The",1995,5.7,3.0,19,405,52,36,Steven Soderbergh,USA
336,"Walking Dead, The",1995,0.0,0.0,4,0,50,0,Umberto Lenzi,Italy
337,What's Eating Gilbert Grape,1993,7.3,3.7,42,57512,88,86,Lasse Hallström,USA
338,Virtuosity,1995,4.3,2.8,29,4167,34,37,Brett Leonard,USA
